block_type,start,end,duration,segments,speaker_count,speakers,text
AD,0.03,16.96,16.93,1,1,SPEAKER_11,지금 당장 구글 플레이 애플 스토어에서 KBS 플러스를 다운받으세요.
DJ,35.28,103.85,68.57,11,1,SPEAKER_23,이은지의 가요광장 안녕하세요. DJ 이은지입니다. 게스트 분들이요. 다른 프로그램에서는 안 보여준 텐션인데 가요 광장에서는 여실히 드러날 때 어디에서도 안 보여준 모습인데 텐디하고만 만나면 그 낯설고 새로운 것들이 나올 때 디스크 자키로서 그게 참 짜릿하더라고요. 우리 청취자 여러분도 그렇죠? 여기 오면 이 얘기 저 얘기 다 하게 되고 그쵸? 네? 제가 잘해서 그런 거라고요? 아이 그러니까요. 애가 적당히 잘해야 되는데 너무 잘하죠. 아우 네 집 DJ인지 참 기특하다.
AD,103.87,130.61,26.74,2,1,SPEAKER_07,그쵸? 여기 살든 말든 내버려둘래 어차피 내가 살아 내 인생 내 거니까 I'm so bad bad 차라리 기적일 래 눈치 보느라 착한 척
DJ/GUEST,174.0,773.87,599.87,67,2,"SPEAKER_05,SPEAKER_23","Everybody everybody everybody teaching me 이은지의 가요광장 오늘 첫 곡은요. It's a wannabe 였습니다. 취재들 오프닝부터 텐디가 좀 셀프 칭찬 좀 해봤습니다. 셀프 칭찬하는 거 굉장히 좋다고 생각해요. 건강에도 좋고요. 심폐기능이 강화되고 몸에서 막 콜라겐이 흘러나와요. 셀프 칭찬 다들 해주셔야 됩니다. 우리 뭐 원래 금요일에 광장코인 노래방을 했었는데 어제는 수요일에 한번 해봤어요 근데 또 우리 후이 씨 고정 게스트인 가수 후이 씨가 아마 이렇게 장난꾸러기가 되고 약간 이렇게 초등학생처럼 귀여워질 때 그때 저도 좀 놀라긴 해요 아니 다른 프로그램 가면 후이시 되게 점잖고 음악 얘기하고 되게 얌전하고 되게 진중한 그런 모습을 봤었는데 가요광장만 오면 우리 후이시가 세상에나 막 그냥 풀어져가지고 신나게 그냥 막 이렇게 노는 그런 모습을 보고 아 이게 참 프로그램에 따라 사람의 성격이 많이 많이 다르게 나오는구나 후이한테 참 고맙다 텐데 그런 생각 들더라고요 2516님 여러 라디오 들으면서 내 눈으로 DJ가 직접 진행하는 모습을 구경하고 싶어 한 건 저는 댄디가 유일하답니다. 그리하여 대구에서 오픈 스튜디오 두 번이나 갔다 왔었지요. 기억하실지 모르겠지만 오픈 스튜디오가 놀러 오시기에는 너무너무 좋지만 이게 또 오신 분들을 다 한 분 한 분 눈 맞추면서 대화하면서 어떻게 이런 화끈한 팬서비스를 하고 싶지만 또 상황이 상황인지라 텐디가 가끔 그렇게 못해서 너무 미안한 마음이 있어요. 그런데 두 눈으로 직접 진행하는 걸 보고 싶었다는 것이 잘해서도 있고 듣다 보면 우리는 별의별 일들이 많이 생기잖아요. 듣다 보면 갑자기 텐디의 어떤 의상부터 텐디의 어떤 춤사위 텐디의 모습들 그런 것들이 조금 뭐라고 할까 와일드할 때가 있죠 라디오에서 하지 못한 일들이 벌어질 때가 있죠 그래서 아마 그런 거 아닐까요? 사연 감사드리고 정승원님 게스트들도 텐디를 닮아 텐션이 올라가나 봐요 저도 가광만 오면 친한 친구처럼 이말저말 다 하게 되고요 텐션도 올라가요 오전에 부장님 때문에 힘들었는데 가광 오프닝 듣는 순간 기분이 업 되네요 어떤 부장님이 또 우리 승원씨를 이렇게 힘들게 하였을까? 목요일이 그래요. 목요일이 약간 사람을 조금 힘들게 하고 내일이 금요일이라는 생각. 그리고 아직 뭔가 주말이 조금 더 멀었구나. 그런 생각 때문에 목요일이 좀 있는 것도 있고. 힘듭니다. 승원님 오늘도 화이팅. 살면서 괴롭힘이라고는 안 당해봤는데 청취자 괴롭히는 텐디 덕분에 청취자라는 투잡 중입니다. 텐디가 내 DJ라서 참으로 좋아요. 진짜요. 청취자들 괴롭히는 게 아주 짜릿하고 아 참 희열을 느끼며 우리 청취자들에게 집착하고 취자들 어쩔 수 없어요 지금은 더군다나 청취율 조사 기간이에요 굉장히 지금 녹록치 않은 상황이고 텐디가 청취자분들은 직업이 두 개다 만약에 자영업을 하시는데 라디오 이은지의 가요광장까지 청취를 하셔 그러면 이것도 청취자라는 직업이 있는 거다 왜냐? 청취자 여러분들이 활동을 해주셔야 이게 청취율이 올라가고요. 그렇기 때문에 이게 또 좋은 결과를 얻을 수가 있는 거예요. 이 방송 제가 만듭니까? 아닙니다. 우리 청취자분들이 문자 사연 보내주셔야 할 수 있기 때문에 어쩔 수 없어요. 여러분들은 다 투잡이에요. 아시겠죠? 투잡. 강점자님 텐디 셀프 칭찬 많이 하세요. 뭘 해도 텐디는 행복을 주는 사람이니까요. 텐디 셀프 칭찬 좀 해야겠어요. 텐디가 어제 많이 녹록치 않았나봐요 일정 다 끝나고 집에 갔더니 집에 가서 저녁 먹고 저녁 8시 반부터 혼자 계속 꿈뻥 꿈뻥 졸더라고요 왜 이러지 왜 이렇게 졸지? 하고 갑자기 9시 즈음에 지금 자면 나 12시쯤 일어날 것 같은데 에이 몰라 그래도 그냥 좀 자지 뭐 그러긴 그러고 잠이 들었는데 눈 떠보니 오전 10시 12시간 정도를 잤어요 지금 텐디가 어떡하죠? 왜 그랬죠? 모르겠어요 왜 그랬나 모르겠어요 그래서 12시간 정도를 자서 나 순간 내가 어디 환생한 기분 뭔지 알아요? 어떡해. 나 또 괜히 이 얘기해가지고 지금 우리 잠 못 자는 청취자들이 텐디 질투하면 어떡하지? 왜냐하면 지금 또 방학이라. 우리 또 학부모 청취자들. 학부모 청취자들은 지금 조금 예민하거든요. 내가 알거든요. 텐디의 친언니가 지금 학부모라 얼마나 피곤한지를 알아요. 일하면서 중간중간 계속해서 아이 체크하고 알았어 금방 갈게부터 시작해서 지금 굉장히 바쁜 나날들이라 우리 방학을 한 학생들은 학부모님들 다들 파이팅 파이팅 해주실 게 많아요 일단 먼저 여러분 청취자들이 해주실 거 첫 번째 문자 보내주세요 문자 번호 샵 8910 짧은 문자 50원 긴 문자와 사진 문자 100원 어플 콩과 kbs 플러스는 무료고요 자 두 번째 귀를 열고 이 이야기 좀 들어봐요 3,4부 은진의 편지쇼 OMG 새해 첫 시간 우리 고정 게스트였던 백호씨가 지금 열심히 또 군복무 중이라서 오늘은 고정 게스트 장준씨와 스페셜 일일 알바생 스페셜 일일 게스트 엑스티너리 히어로즈의 정수씨와 쾌남 주연씨까지 함께 하도록 할게요 연하남과 쾌남의 만남입니다 여러분 그리고 이번주 유행템 추억 소환 트렌드 다 돌려라 라고 하네요 최근에 위기탈출 넘버원이라는 프로그램이 10년 만에 부활해서 위기탈출 넘버원 비상구를 열어라 라는 제목으로 방송 중이고 세상에 이런 일이 또 다시 오픈을 해서 우리 김호영씨가 또 MC하고 했었거든요 텐디도 거의 게스트로 나갔다 오고요 냉장고를 부탁해도 그러네요 냉장고를 부탁해도 몇 년 만에 다시 또 오픈을 했고 이런 방송들이 있고 90년대 예능이었던 양심 냉장고라는 코너도 작년에 놀면 모아니에서 다시 했고요 여러분이 즐겨봤던 각종 추억의 예능 프로그램 중에 부활했으면 하는 것 2026년에 소환하고 싶은 예능 사연과 함께 보내주세요 너무 좋은데요 텐디도 아칠한 소개팅을 2년 전에 다시 해가지고 MC를 봤던 그런 기억도 나요. 이렇게 사연 보내주시고 세 번째 뭘 하셔야 되나. 여러분 2026년 1.4분기 청조사 맞이 가요광장 받아쓰기가 준비되어 있어서 이따가 해주셔야 돼요. 총 26분께 저희가 선물로 나 이 선물이 너무 좋아 배달앱 상품권을 보내드리도록 하겠습니다 요즘 배달 많이들 시켜드시고 신년회 신년모임 이런 것 때문에 배달앱 많이 시키실 텐데 배달앱 상품권 보내드릴 거고요 그리고 자 네 번째 광고 소개할 거니까 잘 들으세요. 각종 시작송들로 함께 할 건데요. 제목만 보면 이게 왜 시작송이야 라고 할 텐데 가사를 들어주십시오. 음악 주세요. 시작은 달콤하게 텐디답게 텐션을 올려 언제나 그랬듯이 취자들을 홀리제 다른 라디오 얼씬마 이은지의 가요광장인 리브는 경기주택도시공사 바인노텍 미래에스 증권 고려기프트 시니어브랜드 금비 베스트슬립 맥스얀 경기주택도시공사 제공입니다"
AD,775.24,802.2,26.96,6,3,"SPEAKER_10,SPEAKER_20,SPEAKER_22","창업을 준비하는 청년들의 든든한 발판이 되어주는 곳이 있습니다. GH 경기주택도시공사는 청년 창업가들이 도전에 이어갈 수 있도록 안정적인 기반을 함께 만들어가고 있습니다. 누군가의 가능성에 무한 동력이 되어주는 일, GH가 함께합니다. 영자야, 너 피부 클리닉 다녀왔어? 아니, 화장품만 바꿨어. 무슨 화장품인데 이렇게 달라져?"
GUEST,802.22,806.07,3.85,1,1,SPEAKER_05,"리퍼브, 개인 맞춤형 화장품이라 써보면 확실히 달라."
AD,807.03,812.98,5.95,3,2,"SPEAKER_13,SPEAKER_14","리퍼브? 변화, 그 이상의 놀라움. 2025 APEC 공식 구원 화장품 리퍼브."
DJ/GUEST,813.0,1233.82,420.82,59,2,"SPEAKER_05,SPEAKER_23","전국 클라운지를 검색해보세요. 지금이야 스텝 1, 스텝 2, 숨이 멈춘 순간 낮에 나를 이은지의 가요광장 함께하고 계시고요. 저는 텐디 이은지입니다. 취재들은 역시나 1월 8일 목요일에도 텐디랑 잘 놀아주고 있습니다. 7868님 어서오시고 좋은나래님 반가워요. 안현주님 텐디 안녕하세요. 이미나님 재나요. 아이고 반갑습니다. 정은영님도 문자주셨고요. 오늘 동네 언니가 집에서 저녁 먹자고 초대해주셔서 선물로 가져가려고 땅콩버터 쿠키 굽고 있어요. 구수한 냄새가 온 집안에 퍼져 너무너무 좋네요 언니가 오색 수제비 해준다네요 잘 먹고 올게요 겨울에는 이렇게 수제비나 칼국수 계열 정말 맛있지 않나요 특히나 옆에 이런 어떤 김치가 환상적일 때 아 정말 난리난다 난리나 완전 사랑하는 탄수화물 파티잖아요 아 너무 좋겠는데 은영님 그리고 텐디도 옛날에는 몰랐는데 이렇게 누구 집에 갈 때 누구 만날 때 윗사람 만나게 될 때 이 사람이 쓰든 안 쓰든 어쨌든 뭔가 선물 하나씩 갖고 찾아뵙는 거 그거 참 중요한 것 같아요 텐디도 이런 걸 좀 우리 취재들한테 배우는 것 같네요 9683님 오늘 둘째 졸업식 끝나고 바로 출근했어요. 저는 애가 셋이라서 방학 때는 집보다 회사가 더 좋아요. 워킹맘 파이팅. 애가 셋이라서 방학 때는 집보다 회사가 더 좋아요. 그렇죠. 그렇죠. 아무래도 이렇게 또 눈 뜨자마자 아기랑 또 같이 지내는 게 또 사실 정말 쉽지가 않아요. 이게 어쨌든 텐디가 옛날에 얘기했잖아요. 유부녀 친구 언니가 막 이런저런 수다 떨다가 조그마한 얘기해도 너무 행복해하고 너무 빵빵 터져서 아니 오늘 어쩜 이렇게 기분이 좋아요 그랬더니 말 통하는 사람이랑 얘기하는 것만으로도 좋아 막 이러는 거예요. 이제 애기들은 어쨌든 대화가 이렇게 정말 어른처럼 뭔가 이렇게 티키타카 왔다 갔다라는 느낌보다 우리가 많이 받아줘야 되니까 그래서 아 그렇구나 이게 쉽지 않은 일이구나 텐지도 막 이런 생각 했었거든요 우리 모든 워킹맘들 화이팅이고 또 지금 열심히 육아하고 있는 육아맘들도 화이팅입니다 아시겠죠 4723님 저희 회사에서 원래 라디오 다른 거 들었는데 제가 입사하고 나서는 가광만 틀어요 이제 자연스럽게 가광하는 시간에 맞춰서 틀어주신답니다 다른 층도 전파할게요 아 감사합니다 아니 텐디는 진짜 이렇게 음 청취자들이 이렇게 또 문자사연 주는게 너무너무 쏘땡큐고 지금 또 청취율 조사기간이라 굉장히 여러분들이 여기저기 소원을 많이 내주셔야 하는 상황이에요 특히나 어제 회사 게시판에다가 그 이인지의 가요광장 포스터를 뽑아가지고 붙여서 함께 들어요 이렇게 또 해주신 분도 어제 저희가 오늘의 영업사원으로 뽑았죠 그러면 4723님을 오늘의 영업사원으로 임명합니다 너무 감사드리고 오늘의 영업사원으로 임명되신 분께는 이은지의 가요광장이 치킨 상품권 보내드리니까 만관참 많은 관심과 참여 부탁드립니다 치킨 상품권 보내드릴게요 0584님 청취자 힘들어서 퇴근해요 문자를 보내고 갑니다 퇴근해요? 음... 취자가 퇴근한다는 것은 가요광장을 이제 그만 듣고 잠시 뭔가 이렇게 일을 한다는 거겠죠? 그래요. 칼퇴근? 오늘 칼퇴근하고 싶어요? 그래 오늘 해요. 내일은 안 돼요. 내일은 안 되고 일주일에 한 번만 퇴근을 할 수가 있어요. 청취자들은. 근데 매일 퇴근은 안 되고 12시부터 2시까지 일을 해야죠 여러분. 좀 부탁 좀 할게요. 0584님. 오늘은 퇴근하는 거 텐디가 허락. 근데 시작한지 지금 17분 만에 퇴근하는 게 약간 좀 황당하긴 한데. 왜냐면 지금 12시 17분밖에 안 됐어요 여러분. ENG의 가을광장이 12시부터 2시까지잖아요. 근데 12시 17분밖에 안 됐다고요. 근데 벌써 퇴근을 한다고요? 오케이 그래도 괜찮아요. 오늘 목요일이니까 퇴근하는 거 약속하고 그러고 다시 또 금요일 내일부터 화이팅 하자고 하시겠죠. 현재 시각 12시 18분 4초가 되었네요. 이쯤에서 가요광장의 또 다른 은지를 한번 만나러 가볼까요. 평범하게 꼭 닮은 우리의 하루. 현실 고증. 세상의 모든 은지. 해서 만약에 그렇게 하는 걸로 결정이 되면 이러쿵 저러쿵 해서 어쩔티비 저철티비 하는 방식으로 교체를 해도 괜찮을 것 같습니다. 네 고생하셨습니다. 자기야 오늘은 회의가 어땠냐 이거야 아니 근데 선배님 저분은 원래 스타일이 저래요 다른 사람 의견을 전혀 안 들으시는 것 같던데 자기야 그래서 내가 힘이 들었다 이거야 그리고 이거 있잖아요 이거 이거 이거는 우리가 지난번 회의 때 얘기했던 거 아니에요 아니 분명히 나도 말하고 선배님도 말씀하셨던 것 같은데 왜 처음 들으시는 것처럼 말씀하시는 거예요 내 말이 그 말이다 이거야 지난번에 저 사람이랑 둘이서 프로젝트를 할 때도 내가 이런 것들 때문에 스트레스가 아 이만저만이 아니었다 이거야 뭐만 말하면 죄다 까였다 이거야 자존감이 바닥을 쳤다 이거야 그래서 이번에는 도저히 둘이서만 할 자신이 없어서 내가 자기한테 SOS를 친 거라 이거야 아니 근데 선배 인원을 좀 더 보충해달라고 해도 될 것 같아요 이거를 둘이서 하기에는 이거 둘 셋으로 하기에는 좀 많은데 아 자기야 그 얘기를 내가 안 했겠냐 이거야 근데 자기도 정말 내가 부장님한테 사정사정 해가지고 겨우 토입을 시킨 거다 이거야 악의 구렁텅이로 끌어들인 것 같아 나도 미안하다 이거야 허나 나도 살아야겠다 이거야 아니 뭐 선배님이 하시는 일이면 저는 무조건이죠 아우 자기야 나 지금 너무 행복하다 이거야 할 일도 많고 저 사람은 변함없이 답답한데 같이 욕할 자기가 있으니까 난 너무 좋다 이거야"
AD,1246.76,1417.2,170.44,6,1,SPEAKER_04,"yeah this goes out man you know who you are let's go check it oh baby 너무 좋아서 you're driving me crazy 네 생각만 해도 기분이 좋아 기분이 좋아 기분이 좋아 이 느낌 너만 느끼게 할 수 있는 느낌 난 죽을 때까지 내 곁에 있어줘 아낄 수 있어 아낄 수 있어 언제나 너만 바라봐 나도 모르게 괜히 웃음이 나와 Oh baby baby baby baby 나 크게 소리 외치고 싶어 좋아 이 모든 것이 좋아 앞머리부터 발끝까지도 모든 것이 좋아 너와 함께라면 즐거워 시간이 지날수록 더 좋아져 난 네가 필요해 매일 같이 깨달라고 난 기도해 난 오직 너만이과 행복하게 살 수가 있어 No, no Yeah, I'll break it down now 너와 함께면 하루하루가 너무 특별해 Stay with me forever and ever baby please And girl 우리가 운명 아니어도 난 무조건 너야 You know that I got ya You know that I love ya I'll always be with ya baby 언제나 너만 바라봐 나도 모르게 이 모든 것이 좋아 너와 함께라면 즐거워 시간이 지날수록 더 좋아져 내 곁에 항상 있어줘"
DJ/GUEST,1461.25,1713.18,251.93,22,2,"SPEAKER_05,SPEAKER_23","세상의 모든 은지에 이어서 제이팝 좋아 듣고 왔습니다. 아하 우리 세모은의 은지랑 이거야 선배님 있잖아요. 이거야 하는 선배님이 절친일 수밖에 없어요. 이게 사람이 끈끈해지는 거는 다양한 일들이 있는데 일단은 정말 녹록치 않은 상사를 만났을 때 그 밑에 있는 사람들은 더욱더 끈끈해집니다. 참 그런 것 같아요 웃긴 포인트와 화나는 포인트가 같으면 완전 절친이 될 수밖에 없는 것 같고요 그리고 절친이 되는 또 다른 이유 중에 하나가 되게 비슷한 시기에 각자 이별한 사람들 있죠 그 사람들이 무지하게 절친이 돼요. 정말 무지하게 절친이 되고 또 텐디가 봤던 것 중에 하나는 되게 비슷한 사람들끼리 퇴사를 한다든지 퇴사 동기들 이런 분들 엄청 친해지고 텐디는 개인적으로 동기, 코미디 빅리그 동기도 있지만 또 텐디가 친해진 동기 중에 한 분은 코로나 동기라고 똑같아요. 같은 날 코로나 걸려가지고 똑같이 집에서 이거 해봐 심심하지 요거 좀 해봐 목은 어때 이 이온음료를 많이 마시래 뭐 이런 것들을 정보로 교환하면서 굉장히 친해졌던 기억이 나요 서경애님 웃음코드가 맞는 사람하군요 친구가 되고요 열받는 포인트가 맞는 사람하곤 일을 같이 할 수가 있대요 그러겠네요. 우리 장항준 영화 감독님도 결혼을 하려면 그걸 또 체크하라 그러던데 재밌는 포인트와 화나는 포인트가 같아야 된다. 재밌는 포인트가 같으면 코드가 맞다라는 것이고 화나는 포인트가 같으면 같은 이데올로기를 갖고 있는 거래요. 그래서 아 그렇구나 이렇게 굉장히 공감했던 그런 기억이 나요. 취재들은 어떤 공감으로 이렇게 이은지의 가요광장을 사랑해주는 거예요? 우리 지금 12시 26분밖에 안 됐는데 아까 17분에 퇴근한 청취자 벌써 퇴근했어요? 지금 가방 싸는 거 아니고요? 웬만하면 가지 말고 좀 들어봐요. 1부 꾹꾹 흐르고 있습니다. 하성운, Tell the World 들려드리면서 우리는 2부에서 만나요. 소리 없이 날 스쳐가는 flame It's a day war, it's a day war, it's a painful 돌아보면 다 잠들듯한 순간이었음을 where you are 날 이끌어낸 the light inside I always dive for you 이 곡은 제가 가장 좋아하는 곡입니다. 감추고 싶다 내 안의 나 마주 본 널 To the world I'm fine To the world I'm fine To the world I'm fine 서툴기만 한 내 모습은 왜 이러버린 거 늘 애틋한 기억 속의 아름다운 걸 기다리기엔 just waste no time I always want now 어둠 속에 매일 I'll save the life 오늘의 날"
