block_type,start,end,duration,segments,speaker_count,speakers,text
AD,0.03,29.84,29.81,1,1,SPEAKER_22,고객들의 마음을 사로잡기 위해 SBS 라디오와 함께하세요.
DJ,40.77,133.87,93.1,15,1,SPEAKER_14,박하산의 시내타운 영화 히트맨에서 두꺼운 안경을 쓰고 가르마를 곱게 탄 대학교수 개리. 그런데 경찰에 수사를 자문해 주다가 청부 살인업자인 척 잠복 수사까지 하게 돼요. 그러니까 공부만 하던 개리가요. 범죄자들 앞에서 킬러 행세를 한 겁니다. 근데 웬걸 킬러라고 생각을 하니까 평소에 없던 용기가 생겨나고요. 갑자기 흔들린 연기를 보여줘요. 굉장히 허무맹랑한 얘기 같지만 이게 실화가 바탕이래요. 사실 배우가 아니더라도 모두가 사회생활을 할 땐 집에서랑은 다른 연기를 하기도 하죠. 그 가면이 나쁜 게 아니라 문 밖에 나설 때 우리를 지켜주는 보호막 같기도 해요. 눈이 소복이 쌓인 겨울이네요. 여러분은 오늘 어떤 부캐로 활동하세요? 저는 캔디. 안녕하세요. 박하산의 시내타운 박하산입니다.
MUSIC,152.07,258.44,106.37,2,1,SPEAKER_21,We Confusion Under the Moonlight It's such a night It's such a night To steal away Such a night Such a night To steal away the time is right Baby I couldn't believe my ears And my heart just skipped a beat When you told me to take you Walking down the street
DJ,311.75,470.87,159.12,30,1,SPEAKER_14,"11월 29일 금요일입니다. 박하선의 시내타운 첫 곡은 영화 히트맨에서 닥터존의 Such a Night 듣고 왔어요. 올해 공개된 영화 히트맨, 비포 선라이즈 등 비포 시리즈를 만든 리처드 링클레이터 감독의 작품이라고 합니다. 글램포엘 아드리아 아르호나가 주연을 맡았고요. 사랑하는 고양이 두 마리와 함께 사는 온화한 성격의 교수 게리 존슨. 경찰의 수사를 자문해 주다가 일손이 부족한 경찰 대신에 잠복 수사를 해 주는데 여기서 의외의 재능을 보이면서 벌어지는 이야기. 영화적 상상력이 가미가 됐지만 실화가 바탕이라고 합니다. 개리 존슨은 실제 인물이래요. 심리학 교수이자 수십 년에 걸쳐 60명을 체포하는데 와우 도움을 준 언더커버 경찰이었다고 하네요. 와 실제가 더 영화 같네요. 세상에 진짜 이렇게 언더커버를 하는구나. 0321님은 전 오늘 참한 도시여성 컨셉이래요. 오늘 유치원 학부모 행사가 있거든요. 아 그때 또 긴장되죠. 8113 님은 아니 어제 내비게이션 녹음된 파일을 확인을 했어요. 누나가 남친 앞에서 대도 안 되는 애교를 떠는 게 녹음이 됐더라고요. 어머나 그 부캐는 뭔지. 아 재밌네 이게 다 그 안에 마이크 끄라고 우리 8113 누나님한테 말씀드려야 되는데. 지연님은요. 제 마음은 아직 덜 자란 아이인데 오늘도 부캐 중 하나인 엄마로 시작을 해요. 엄마 목소리 엄마 표정 흉내 내기 참 어렵죠. 얼른 일어나 밥 먹자 하셨습니다. 그러게요. 옛날에 굉장히 내가 여기서 따르고 여기서 따른 게 굉장히 헷갈렸는데 아 사람은 원래 이렇구나 생각을 하니까 아 오늘은요. 하지영 성우님과 함께한 릴스 무비가 준비되어 있어요. 크리스마스 여행으로 떠난 낯선 곳에서 만난 운명적인 사랑이야기. 영화 로맨틱 홀리데이를 짧은 한편으로 펼쳐볼 건데 요즘 같은 날에 크리스마스가 곧 오니까 참 잘 어울리죠? 하고 싶은 이야기 듣고 싶은 노래가 있으시다면 지금 바로 무료인 고릴라나 샵 1077 짧은 건 50원 긴 건 100원의 유료 문자로 보내주세요. 그럼 광고 듣고 다시 만나요."
AD,471.33,481.56,10.23,2,1,SPEAKER_20,이제 연금도 투자다. N2 퇴직연금.
DJ,481.71,485.86,4.15,1,1,SPEAKER_14,역시 고용노동부가 선정한 2024년 퇴직연금 우수사업자.
AD,486.26,706.49,220.23,58,11,"SPEAKER_05,SPEAKER_06,SPEAKER_10,SPEAKER_11,SPEAKER_13,SPEAKER_16,SPEAKER_18,SPEAKER_19,SPEAKER_20,SPEAKER_23,SPEAKER_24","NH투자증권. 원금 손실 유의. 가입 전 상품 설명서 및 약관 필독. 안녕하세요. 이재훈입니다. 가장 살기 좋은 집이 되도록 가장 빛나는 삶이 펼쳐지도록. 삶을 움직이는 집. 동문 디이스트. 초중고 학습권과 도보 10분 문산역. 문산의 중심. 문산역 3차 동문 디이스트 센트럴. 견본주택 개관 중. 031-651-7733. 한 회사를 똑같이 다녔는데 동기보다 내가 세금도 많이 내면 속이 타 안 타. 그럼 갈아타. 삼성증권 퇴직연금으로 연말 정산 최대 900만 원까지 공제받으니까 당신의 연금력이 커집니다. 삼성증권 투자 전 상품 설명서 및 약관 필터 원금 손실 발생 가능 및 투자자 기소 보수는 연 0.24에서 0.3%이며 홈페이지 참고. 안녕하세요. 신한 프리미어 모델 김수현입니다. 여러분께 특별한 자산관리를 소개합니다. 투자, 법률, 세무, 부동산 각 분야 전문가들이 당신만을 위한 맞춤 솔루션을 찾아드립니다. 지금 만나보세요. 자산관리는 신한프리미어 새 차 타고 싶은 사람들 주목! 현대의 자동차를 구매하는 새로운 비법! 이름하여 안심 플러스 할부! 중고차 잔가를 70%까지 보장! 차값의 3분의 1만 매달 부담없이 나눠내고 2년 뒤엔 타던 차를 그대로 반납하면 되니 완전 초대박! 자세한 내용은 지점 대리점 문의! 장비 관리하다 하루 다 갔네. 장비도 시간도 아끼세요. 어떻게? 글로벌 표준의 안전한 최신 장비로. 고장 나면? 정기점검에 대체 장비도 지원돼요. 그랜탈 뭔데? 럿. 11월 새로운 시대가 시작됩니다. 살고 일하고 즐기고 쉬고 누리고 거대한 원안에 당신의 삶을 모두 담은 서울원에서 만나는 라이프컬처시대 서울원 아이파크. HDC 현대산업개발. 이제 파스 고를 때 테크놀로지를 따져보세요. 통증 완화 테크. 염증 케어 테크. 통기성 테크까지. 이 모든 테크를 한 장에. 개펜 테크. 통증엔 빠르게. 피부는 편하게. 저 지진이처럼 통증엔 테크하세요. 개펜 테크. JLS 사이언스. 안녕하세요. 저는 다니엘 헤네입니다. 모든 곳이 연결된 미래적 워크스페이스가 옵니다. 스케일, 인프라, 비전까지 현대 엔지니어링이 완성하는 하이엔드 워크 에디션 신광교 클라우드시티 1668 0668 현대 엔지니어링 자연실로 건강한다 맛있는 닭하림 자연살마 자연실로 건강하게 어하하림 착한 닭고기 자연실로 닭고기 하면 아하림 여러분은 지금 배우 김경남이 사랑하고 배우 이현우가 사랑하고 배우 문소리가 사랑하는 배우 노상현이 너무나 사랑하고 애청하는 배우 임주환이 사랑하는 배우 혜리가 사랑하는 박하선의 시네타운과 함께하고 있습니다."
DJ/GUEST,706.5,757.91,51.41,8,2,"SPEAKER_09,SPEAKER_14","오늘도 영화처럼 영화는 방울방울 그달의 영화 그 안의 추억 2311님이 보내주신 사연입니다. 올해잔 초보 운전자일 때 일입니다. 그때 차선 변경이 서툴러서요. 올림픽 공원에서 여의도를 가는데 이상하게 강 건너 일산에 막 가있고 그랬어요. 아무래도 안되겠어서 하루 연차를 내고 한적한 서울 근교에서 운전 연습을 하기로 했습니다. 안내를 시작합니다. 강변북로, 자이로 경로로 안내합니다."
DJ/GUEST,757.93,775.86,17.93,5,2,"SPEAKER_09,SPEAKER_14","아하, 좋았어. 자, 안전벨트 했고, 기름 넣었고, 장갑 꼈고. 자, 이제 헤이리 마을까지 고고고! 잠시 후 우회전입니다. 경로를 이탈했습니다."
DJ/GUEST,776.37,788.22,11.85,2,2,"SPEAKER_09,SPEAKER_14",1km 앞 지하차도 옆길입니다. 경로를 이탈했습니다.
