block_type,start,end,duration,segments,speaker_count,speakers,text
AD,0.03,30.02,29.99,1,1,SPEAKER_16,고객들의 마음을 사로잡기 위해 SBS 라디오와 함께하세요.
DJ,39.45,97.83,58.38,5,1,SPEAKER_02,박하산의 시내 영화 나니아 연대기 사자 마녀 그리고 옷장에서 숨바꼭질을 하던 막내 루시가 옷장에 몸을 숨기죠. 그런데 어디선가 한기가 느껴지고 옷들을 들추니 온 세상이 새하얀 눈으로 뒤덮인 전설의 세계 나니아가 펼쳐집니다. 오늘 아침 창문을 열고 이런 생각하셨을 거예요. 여기가 난이야인가?
AD,97.89,98.03,0.14,1,0,,겨울왕국인가?
DJ,98.28,124.42,26.14,6,1,SPEAKER_02,밤새 내린 눈이 소복이 쌓여있네요. 첫눈치곤 참 거하게 왔어요. 내일까지 눈이 더 올 예정이라는데 눈은 영화에선 볼 땐 참 좋은데 현실에선 어쩔 수 없이 빙판길 걱정을 하게 되잖아요. 꼭 안전운전 하시고 감기 걸리지 않게 도톰하게 입으세요. 첫눈이 소복한 날 안녕하세요. 박하선의 시내타운 박하선입니다.
MUSIC,173.81,203.55,29.74,1,1,SPEAKER_09,I'll be remembering you From the first moment when I heard your name
AD,253.26,270.17,16.91,1,1,SPEAKER_09,자막 제공 배달의민족
DJ,359.62,530.89,171.27,13,1,SPEAKER_02,"영화 나니아 연대기 사자 마녀 그리고 옷장에서 스티븐 커티스 체프먼의 Remembering You 듣고 오셨어요. 2005년에 개봉한 영화입니다. 애니메이션 슈렉 시리즈를 만든 앤드류 아담슨 감독의 작품이고 조지 헨리, 윌리엄 모슬리가 출연을 했어요. 2차 세계대전 중 전쟁을 피해 먼 친척집에 맡겨진 네 남매가 어느 날 그 저택에 있는 마법의 옷장을 통해 환상의 나라 나니아에 들어가게 되면서 벌어지는 이야기 밤새 눈이 많이 쌓였죠 지금은 눈발이 가늘어진 곳도 있지만 밤에 또 눈이 올 거라고 하네요 귀주님은 송도에 눈 많이 온다고 와 1067님은 캔디 아파트 옆에 중학교가 있는데 체육시간인지 선생님께서 아이들과 나와서 눈싸움하고 있어요 오 예전에 초등학교 다닐 때 그 쉬는 시간에 점심시간인가 나와서 눈싸움 했는데 막 쓰레바지로 쓰레받기로 하고 그랬는데 그 기억이 너무 좋아서 잊을 수가 없는데 그런 추억을 만들고 있나 봐요 중학교인데도 이게 되는군요 까르르 까르르 아이들 모습 보니 선생님께 감사한 거 있죠 하셨어요 저희 아이도 아침에 일어나더니 그 눈 옥상에 쌓인 눈 보고 간다고 일찍 일어나더라고요 6809님은 18개월 딸이랑 기상해서 보니 겨울왕국이 되었다고 맞아요 그런 느낌 들었어요 오늘 명숭님 자주 오시네요 캔디 오늘 출근하면서 커피 한 잔 사오는데 아 맞아요 미끄러워서 넘어질 뻔했다고 아 진짜 조심하셔야 돼요 진짜 눈 올 때는 근데 뭐 신나 이게 진짜 안 미끄러지는 그런 신발을 하나 장만을 해놔야 될 것 같아요 방화나 신으면 되는 건가? 장화를 신어도 미끄러질 것 같고 아 그래요? 등산화도 안 미끄러진다고? 좋네요 좋네요 등산화나 방화나 신으면 되는군요 다들 꼭 오늘 안전운전 하시고 우리 테레요스들의 이야기 받고 오늘은 또 아 맞습니다 2393님이요 영민님 소연 배우님 눈이 많이 오는데 출근길 힘드셨겠어요 영화 딜리버리 이야기 기대돼요 하셨습니다 오늘은 시내 초대석이 있는 날이죠 첫눈 내린 날 와주신 귀한 손님들이네요 영화 딜리버리의 김영민 권소연 배우님과 함께 해볼게요 지금 영화 개봉 중인데 와 전 어제 봤는데 너무 재밌더라고요 여러분 꼭 챙겨보세요 궁금한 것들 미담 목격담 있으시다면 지금 바로 무료인 고릴라나 샵 1077 짧은 건 50원 긴 건 100원의 유료 문자로 보내주세요 그럼 우리 광고 듣고 빨리 만나요 팀장님 연금도 투자하세요? 알아서 크는 연금은 없으니까 투자해야죠 아 투자의 차이가 연금의 차이?"
AD,531.17,760.56,229.39,54,9,"SPEAKER_05,SPEAKER_06,SPEAKER_09,SPEAKER_12,SPEAKER_13,SPEAKER_18,SPEAKER_19,SPEAKER_21,SPEAKER_22","이제 연금도 투자다 N2 퇴직연금 역시 고용노동부가 선정한 2024년 퇴직연금 우수사업자. MH투자증권. 원금 손실 유의. 가입 전 상품설명서 및 약관 필독. 안녕하세요. 이재훈입니다. 가장 살기 좋은 집이 되도록 가장 빛나는 삶이 펼쳐지도록. 삶을 움직이는 집. 동문 디이스트. 초중고 학습권과 도보 10분 문산역. 문산의 중심. 문산역 3차 동문 디이스트 센트럴. 견본주택 개관 중. 031-651-7733. 한 회사를 똑같이 다녔는데 동기보다 내가 세금도 많이 내면 속이 타 안 타. 그럼 갈아타. 삼성증권 퇴직연금으로 연말 정산 최대 900만 원까지 공제받으니까 당신의 연금력이 커집니다. 삼성증권 투자 전 상품 설명서 및 약관 필터 원금 손실 발생 가능 및 투자자 비속 보수는 연 0.24에서 0.3%이며 홈페이지 참고. 안녕하세요. 신한 프리미어 모델 김수현입니다. 여러분께 특별한 자산관리를 소개합니다. 투자, 법률, 세무, 부동산 각 분야 전문가들이 당신만을 위한 맞춤 솔루션을 찾아드립니다. 지금 만나보세요. 자산관리는 신한프리미어 여러분, 위기 상황으로 어려움을 겪고 계신가요? 혼자 고민하지 마시고 긴급복지 지원을 요청하세요. 생계, 의료, 연료비 등을 지원받으실 수 있습니다. 자세한 사항은 국번 없이 129로 문의 바랍니다. 보건복지부가 힘이 되어드리겠습니다. 안녕하세요. 윤종신입니다. 이정하입니다. 탄탄한 내일을 위해 함께 들어볼까요? 퇴! 인생 멀리 보고 안정적 퇴직연금은 탄탄한 신한은행 퇴직연금 투자 전 생명 정치 상품 설명서 약관 태도 원금 손실 발생 가능 및 투자자 귀속 IRP 수수료 최소 0.21% 이며 홈페이지 참고 장비 관리하다 하루 다 갔네 장비도 시간도 아끼세요 어떻게? 글로벌 표준의 안전한 최신 장비로 고장 나면 정기정고매 대체 장비도 지원돼요 그랜탈 뭔데? 롯데 롯데 롯데비즈랑탈 11월 새로운 시대가 시작됩니다. 살고 일하고 즐기고 쉬고 누리고 거대한 원안에 당신의 삶을 모두 담은 서울원에서 만나는 라이프 컬처 시대 서울원 아이파크 HDC 현대산업개발 이제 파스 고를 때 테크놀로지를 따져보세요. 통증 완화 테크, 염증 케어 테크, 통기성 테크까지. 이 모든 테크를 한 장에. 개펜 테크. 통증엔 빠르게, 피부는 편하게. 저 지진이처럼 통증엔 테크하세요. 개펜 테크. GLS 사이언스. 새 차 타고 싶은 사람들 주목. 현대 자동차를 구매하는 새로운 비법. 이름하여 안심 플러스 할부. 중고차 잔가를 70%까지 보장 차값의 3분의 1만 매달 부담없이 나눠내고 2년 뒤엔 타던 차를 그대로 반납하면 되니 완전 초대박 자세한 내용은 지점 대리점 문의 함께해요 자연실로 건강한다 맛있는 닭하림 자연 닮아 자연실로 건강하게 어하하림 착한 닭고기 자연실로 닭고기 하면 아하림 여러분은 지금 배우 김경남이 사랑하고 배우 이현우가 사랑하고 배우 문소리가 사랑하는 배우 노상현이 너무나 사랑하고 애청하는 배우 임주환이 사랑하는 배우 혜리가 사랑하는 박하선의 씨네타운과 함께하고 있습니다."
DJ/GUEST,760.58,856.19,95.61,9,2,"SPEAKER_02,SPEAKER_20",오늘도 영화처럼 영화는 방울방울은 카페인 부담 없이 맛과 향은 그대로 맥심 디카페인 커피 믹스와 함께합니다. 박하산의 시내타운에서 준비한 문화선물이에요. 보고 싶은 작품 문자 또는 고릴라로 신청하거나 시내타운 홈페이지 문화선물 게시판에 댓글 남겨주세요. 영화 1승 예매권 영화 리바이벌 69 예매권 영화 아들들 예매권을 드립니다. 인생을 담은 영화 이야기 영화 같은 인생 이야기 그리고 그 이야기를 들려주는 사람들 이야기 신의 초대상 안녕하세요 지금 우리 보는 라디오도 여러분 함께하고 있습니다 두 분이 인사하고 계시고요 안녕하세요 4493님은요 이슈 이슈 핫 이슈 보민이 막내 소연이가 배우가 돼서 시내타운에 왔네요 여전히 너무 귀엽다고 감사합니다 실물이 더 예쁩니다 감사합니다 9023님은 우리 엄마가 제일 좋아하는 김영민 배우가 왔군요 저희 엄마가 영민 배우 손아트를 특히 좋아하시는데 뭔가 좀 다른가요? 안녕하세요 어머님
AD,858.65,866.6,7.95,1,1,SPEAKER_06,사단아트 보여주셨습니다.
