block_type,start,end,duration,segments,speaker_count,speakers,text
AD,0.03,7.75,7.72,1,1,SPEAKER_20,당신을 지키는 EHL 바이오가 6시를 알려드립니다.
DJ,41.68,192.85,151.17,24,1,SPEAKER_24,"겸손하게 한 해를 시작하든 야심차게 한 해를 시작하든 속도보다 역시 방향부터 생각하게 됩니다. 어떤 아이사키 선수가 이렇게 말했습니다. 나는 퍽이 있었던 곳이 아니라 앞으로 갈 곳을 향해 움직인다. 신년운세가 좋든 나쁘든 상관없이 굿뉴스와 나쁜 소식과 다소 불안한 전망이 뒤섞인 상태에서도 방향 탐색부터 합니다. 해마다 그랬지만 올해도 역시 온갖 노이즈와 온갖 시그널 속에서 첫 일출을 맞았고 이제는 마음을 가다듬고 있습니다. 올해가 어떤 해가 될지는 전혀 알 수 없지만 그래도 하나 확실한 것이 있습니다. 과거의 거기도 아니고 지금의 여기도 아니고 앞으로의 저기를 향해 열심히 나아갈 거라는 마음. 그 하나라도 확실히 하려 합니다. 저 먼 우주로 떠난 지 오래인 스티븐 호킹이 우리를 응원합니다. 용감하게 호기심을 가지고 단호하게 장애물을 극복하자. 우리는 그렇게 할 수 있다. 1월 4일 일요일입니다. 배철수의 음악 템프는 지금 4일간의 특집 방송. 2025년 팝뮤직 청결상. 오늘은 재즈 음악을 함께하는 시간입니다. 먼저 재즈 차트는 스무드 재즈 에어플레이 송스 차트하고요. 재즈 앨범 차트가 있습니다. 스무드 재즈 에어플레이 송스 차트부터 보겠습니다. 10위부터 봅니다. 마리언 매도우스 미국의 소프라노 섹터폰 연주자입니다. 음악 제목이 AI Moonrise인데 실제로 AI를 활용해서 만들었다고 해요. 제주도까지. 자, 12곡으로 출발합니다. 마리은 메더우스, AI Moonrise."
AD,210.58,223.14,12.56,1,1,SPEAKER_13,감사합니다.
DJ,374.79,433.11,58.32,10,1,SPEAKER_24,마리언 매더우스의 AI 문 라이즈 들었습니다. AI를 활용해서 작곡했다고 하는데 도대체 어디까지가 AI를 활용한 건지가 사실 경계가 모호하잖아요. AI가 99% 작곡하고 1%만 사람이 개입했다면 그걸 같이 했다고 할 수 있는 건가? 같이 한 건 맞긴 한데 애매합니다. 앞으로 음악계는 AI 때문에 애매해질 것 같아요. 아무튼 스무드 재즈 에어플레이 송스 차트 10위 마리언 매더우스의 AI Moonrise 들었습니다. 9위는 마커스 앤더슨의 Anyway You Want It. 저니의 노래하고 제목은 같습니다만 아무 상관없습니다.
AD,433.13,804.25,371.12,26,8,"SPEAKER_03,SPEAKER_06,SPEAKER_13,SPEAKER_14,SPEAKER_15,SPEAKER_20,SPEAKER_23,SPEAKER_27","광고 뒤에 듣겠습니다. 언니 본 너 껌쩍 입었구나 안착 편하니까 안착 팬티 엉덩이에 착 안착 팬티 안 껴 안 끼니까 안착 팬티 엉덩이에 착 착착착착착 엉덩이에 착 착착착착착착착 안착 팬티 착 자꾸자꾸 이비가 이비가 짬뽕 이비가 짬뽕 모델 김태균입니다 국물 맛은 칼칼한데 자극적이지 않아 속은 편안한 남녀노소 모두가 완뽕하게 되는 바로 그 짬뽕 이비가 이비가요 이비가 짬뽕 일일 일짬뽕 오케이 서울사이버대학을 다니고 나의 성공시대 시작됐다 서울사이버대학을 다니고 반려동물산업학과, 스포츠지도학과, 응용수학통계학과 등 사이버대 최대 49개 학과 전공해서 지금 신입생, 편입생을 모집 중입니다. 서울사이버대학교 지밴, 지밴, 지밴, 지밴 너무너무 편해 스타일도 멋져 이럴 때는 역시 지밴인걸 지지지지 밴, 밴, 밴 이모보면 알아듣대로 좋아 작업복은 역시 지밴인걸 대한민국 대표 워크웨어 지벤. 일하는 지금은 지벤 시대. 세계 10대 슈퍼푸드 브로콜리. 겨울엔 브로콜리 카레 어떠세요? 겨울의 카레 브로콜리 카레. 계절마다 카레를 다르게 계절마다 카레를 맛있게 카레로 계절을 맛보세요. 고혈압, 당뇨, 디스크가 있어도 몇 가지 질문만으로 간편하게 가입 가능! 유병자 걱정 덜어주는 현대해상 간편건강보험! 심사기준에 따라 가입이 제한될 수 있으니 유의사항을 확인하세요. 맑은 물이 흐르고 온도 변화가 크지 않은 까다로운 곳에서 자라는 와사비. 주비푸드는 그런 와사비의 뿌리 부분만을 엄선해 사용합니다. 소비자들을 존중하기에 좋은 원료, 정직한 표기를 약속합니다. 아름다운 식탁 창조 주비푸드. 미미미르 에셋 미미르 에셋 투자하는 미미라 에셋 안녕하세요. 노란우산 홍보대사 탁재훈입니다. 세금 걱정에 노후 걱정까지 요즘 사장님들 참 걱정이 많으시죠. 이제 노란우산이 사장님 걱정을 탁 덜어드릴게요. 매년 최대 600만 원 소득공제에 구금내 대출 지원은 물론 복리이자로 퇴직금 역할까지 대한민국 사장님 곁엔 언제나 노란우산이 함께합니다. 사장님의 걱정을 탁 덜어들이는 든든한 희망자산 노란우산. 시청해주셔서 감사합니다."
DJ,888.74,944.7,55.96,8,1,SPEAKER_24,"섹스폰 현주자 마커스 앤더슨의 Anyway You Want It 스무드 재즈 에어플레이 송스 차트 9위 곡이었습니다 2025년 팝뮤직 총결산 오늘은 재즈 차트입니다 1, 2부의 스무드 재즈 에어플레이 송스 차트 소개해드립니다 8위는 피아니스트 리사 아디오 리사 아디오의 웨스트바 7위가 역시 피아노 연주자입니다. 케일라 워터스. 케일라 워터스는 데이비 코즈가 투어 다닐 때 이 투어팀에서 피아노를 연주를 하게 됐어요. 케일라 워터스의 마우키 문. 두 곡을 계속 듣겠습니다. 먼저 8위. 리사 아디오."
AD,944.72,944.78,0.06,1,0,,웻바.
DJ,1423.81,1475.67,51.86,11,1,SPEAKER_24,"카일라 워터스, 마우키 문, 7위 곡 들었고요. 앞에 들으시는 음악은 리사 디오, 웻바였습니다. 8위 곡. 스무드 재즈 에어플레이 송스, 6위 기타리스트 노만 브라운. 피처링 탐 슈만. 탐 슈만은 피아니스트입니다. 탐 슈만이라는 친구가 아주 어리네. 10대 중반부터 스파이로 자이라라는 아주 유명한 컨템포러리 재즈 밴드 있잖아요. 그 팀의 멤버로 활동을 했다고 그래요. 탐 슈만. 노만 브라운 피처링 탐 슈만의 스트롤링 6위 곡 듣겠습니다."
AD,1487.95,1488.82,0.87,1,0,,감사합니다.
DJ,1693.78,1722.57,28.79,2,1,SPEAKER_24,노만브라운 피처링 탐슈만의 스트롤링 들었습니다. 이제 광고 뒤에 오이고 계속 나갑니다.
