block_type,start,end,duration,segments,speaker_count,speakers,text
AD,0.03,21.31,21.28,4,1,SPEAKER_02,업그레이드합니다. KBS 플러스 KBS만이 제공 가능한 무료 서비스 스마트폰에서 즐겨보세요. 40개의 실시간 채널 5만 개의 다시 보기 KBS의 과거 현재 프로그램을 소환해서 볼 수 있습니다. 지금 당장 구글 플레이 애플 스토어에서 KBS 플러스를 다운받으세요.
DJ,39.87,90.03,50.16,11,1,SPEAKER_04,이은지의 가요광장 안녕하세요. DJ 이은지입니다. 오늘 같은 강추위에 보일러가 고장났다면 여러분은 어떻게 하시겠어요? 1번 얼어 죽어도 찬물로라도 감고 나간다. 2번 안 감고 모자를 쓴다. 3번 가까운 뷰티 드러그 스토어에 들러 물 없이 사용할 수 있는 노워시 샴푸를 산다. 4번 연차 쓰고 근처 찜질방으로 간다. 이게 최고 아닌가요? 안 되겠죠? 어렵겠죠? 그치만 생각은 할 수 있잖아요.
MUSIC,112.84,124.13,11.29,2,1,SPEAKER_11,네. my shining star 내 Shining Star Shielding Star
AD,177.56,236.54,58.98,2,1,SPEAKER_11,내 맘속에 사는 너 달려 지금 네 꿈은 그나마 깨어났어 My love 놀라서 미치겠어 네가 너무 그리워 어디서 헤매는 거 맞지 날 보러 와주는 거 맞지 오래오래 기다렸잖아 Hold me
DJ,302.33,720.58,418.25,67,1,SPEAKER_04,"이은지의 가요광장 오늘 첫 곡은요 라붐 겨울동화 였습니다. 추자들 추자들이 있는 그곳은 어때요? 많이 춥지요? 와 주말 내내도 정말 추웠고요. 토요일이었어요. 지난 토요일에는 강풍이 엄청 많이 불어서요 집에 있는데도 창문 흔들리는 소리 나무들 흔들리는 소리 그런 소리들 때문에 너무 깜짝 놀랐던 그런 기억이 나요 날이 추우면 여러 이슈들이 많이 생기죠 보일러 고장 이슈 수도 동파 이슈. 수도 동파 돼보신 분 있어요? 텐디는 옛날에 아파트 살 때 1층에 살았는데 1층에 수도가 얼어서 텐디 집 앞에 물이 그냥 가득 넘쳐난 거예요. 그래서 어릴 적 기억에 어머 진짜 겨울은 무서운 거구나. 그러면 텐디 되게 놀랐던 그런 기억이 있어요. 또 특히나 시동 안 걸리는 문제. 어우. 너무 싫어 아침부터 아침부터 시동이 안 걸려 부랴부랴 연락해 또 늦는다고 회사에다가 미리 얘기해 그리고 이게 또 시동이 오늘만 안 걸린 게 아니라 또 언제 안 걸릴지 모르니까 아마도 마음이 불안하신 분들 진짜 많으실 것 같아요 이민지님 3번 드럭스 스토어에서 드라이 샴푸를 사고 버틴다. 안 그래도 보일러가 말썽이라 어제 찬물로 샤워했어요. 오늘 2시에 기사님이 오시기로 했어요. 남의 일 같지 않는 보일러 고장 얘기에 반갑네요. 그쵸 텐디가 오늘 오프닝에서 만약에 보일러가 고장났다면 어떻게 하시겠습니까? 얼어 죽어도 찬물로라도 씻고 나간다. 안 감고 모자 쓴다. 뷰티 드러그 스토어에 들러 노워시 샴푸라도 쓴다. 연차 쓰고 근처 찜질방으로 가고 싶지만 이거는... 후보 보기에 있을 수 없을 정도로 너무 꿈같은 이야기라서 차마 끝까지 다 읽지를 못했어요 보일러 고장 얘기가 반갑다고요 민지님 민지님도 보일러 고장나가지고 지금 너무너무 불편하실 것 같아 홍사민님 보일러 이슈가 있다면 그냥 친구집 갈랍니다 굿 아이디어. 이 생각을 못했네요. 우리 딸 자취 첫날부터 보일러 고장으로 쪽잠 자다가 담이 와서 지금 엄청 고생 중. 그냥 따뜻한 친구 집으로 고고싱 해야죠. 우리 딸 멀리서 고생이 많아요. 데리고 오고 싶어요. 어머 사미님. 딸내미 데리고 오고 싶대요 우리 딸내미 지금 밖에서 학교 때문에 혹은 회사 때문에 자취하는 친구들이 있을 거 아닙니까 그때 혼자서 밖에서 얼마를 고생이 많아 그냥 집에 왔으면 좋겠다 그런 생각 하시고 있군요 이런 마음들을 엄마의 마음은 딸들은 잘 모릅니다 그냥 지금 정신없이 지내고 있는데 문자라도 많이 많이 얘기해 주세요. 데리고 오고 싶다. 언제 올 거야? 이번 주말은 오니? 그런 문자 많이 많이 보내주세요. 4066님 1번 얼어 죽어도 감고 나간다. 그래서 감기 걸려서 오랫동안 힘들었던 기억이 생각납니다. 얼어 죽어도 감고 나간다 대단하신 분이에요 진짜 텐디가 독한 사람들 얘기 많이 했잖아요 일 끝나고 오자마자 집에다가 착착착 옷 딱 걸어놓으시는 분 정리하시는 분 바로 씻으시는 분 밥 먹고 설거지 바로 하시는 분들 진짜 대단한 분들이라니까요 텐디는 세탁기를 돌려도 한 5분 정도는 세탁기 소리가 종료되었다는 소리를 들어도 한 5분 정도는 좀 흠... 놀아야 되는데 이러다가 넣는 스타일인데 그냥 뭐 띠리링 하자마자 바로 가서 탁탁탁 해서 넣으시는 분들 진짜 대단한 것 같아요 장미애님 제 차요 며칠 동안 시동이 안 걸려서 나 레카를 불렀어요 심지어 새 차에요 눈물 납니다 레카는 뭔가 무서워 레카 차 너무 커 너무 크고 요란 요란 그리고 뭔가 또 집이 골목길 쪽에 있으신 분들은 이런 차가 조금이라도 뭐 잘못되면 약간 좀 부담스럽지 않아요? 텐데 예전에 집이 골목길 근처에 있을 때 아 이게 막 차 그런 이슈 때문에 누가 오더라도 아 이거 주차 어디다 하려나 이런 마음들 불편한 약간 부담부담 이게 걱정이 됩니다 날이 춥거나 날이 더우면 많은 이슈들이 생기는 것 같아요 취재들 오늘은 1월 12일 월요일 다들 따뜻하게 그래도 잘 지내셔야 되고요 혹시라도 안 좋은 이슈가 있다면 괜찮아요 다 조용히 잘 흘러갈 거니까 너무너무 걱정하지 마셔요 오늘 또 2시간 생방송으로 함께합니다. 문자 보내주십시오. 문자 번호 샵8910 짧은 문자 50원 긴 문자와 사진 문자 100원 어플 콩과 KBS 플러스는 무료입니다. 삼사부일은요. 가광 초대석 누구세요? 가요광장에 우리 몬스타엑스 분들이 많이 많이 나와주셨어요 우리 몬베베 친구들도 굉장히 좋아하는 가요광장 지금도 오픈스튜디오에서 벌써 신나게 손을 들고 있는데요 우리 몬스타엑스 팬덤명 몬베베 친구들도 좋아하는 가요광장 우리 셔누씨 나왔죠 형원 씨 나왔죠. 아이엠 씨도 나와줬죠. 그리고 오늘은 솔로 미니 2집으로 돌아온 주헌 씨와 함께하도록 합니다. 궁금한 질문, 부탁하고 싶은 미션 많이 많이 보내주시고. 2026년 1, 4분기 청주 3화지 가요광장 받아쓰기. 이번 주에도 역시나 계속되고요. 오늘 준비된 선물. 이거 내가 진행하는 것이 아니라 이거 내가 참여해야 될 것 같아 선물이 장르라냐 후라이드 앤 양념치킨 앤 치즈 보스 앤 와우 치킨과 치즈볼까지 얹어드립니다. 성공하신 분들 중 총 26분 뽑아드릴 거고요. 많이 많이 참여해 주셔요. 또 하나 가요광장 영업일지도 받고 있습니다. 이은지의 가요광장을 누구에게 어떻게 홍보를 했는지 사연 보내주시면 저희가 오늘의 영업사원으로 선정하고요. 선물도 보내드릴 거예요. 이번주 광고소개 게스트 맞춤송으로 준비했습니다 오늘은 몬스타엑스 주헌씨가 나오기 때문에 이 노래로 함께합니다 음악 주세요 12시 가요 광자 들어 한낮에 아르기닌이야 이은지의 가요광장 1리브는 경기주택도시공사 바이노텍 미래세증권 고려기프트 세니어브랜드 금비 베스트슬립 넥스현 경기주택도시공사 제공입니다."
AD,723.63,763.17,39.54,11,5,"SPEAKER_02,SPEAKER_05,SPEAKER_07,SPEAKER_11,SPEAKER_17","창업을 준비하는 청년들의 든든한 발판이 되어주는 곳이 있습니다. GH 경기주택도시공사는 청년 창업가들이 도전에 이어갈 수 있도록 안정적인 기반을 함께 만들어가고 있습니다. 누군가의 가능성에 무한동력이 되어주는 일. GH가 함께합니다. 영자야, 너 피부 클리닉 다녀왔어? 아니, 화장품만 바꿨어. 무슨 화장품인데 이렇게 달라져? 리퍼브, 개인 맞춤형 화장품이라 써보면 확실히 달라. 리퍼브? 변화, 그 이상의 놀라움. 2025 APEC 공식 구원 화장품 리퍼브. 전국 클라운지를 검색해보세요."
DJ,781.06,875.62,94.56,16,1,SPEAKER_04,"이은지의 가요광장 함께하고 계시고요. 저는 텐디 이은지입니다. 혹시 서울에 거주 중이신 우리 청취자분들 그 얘기 들으셨나요? 출퇴근길을 비롯해 서울 지하철 2호선 이용할 일이 있다 하시면 주의를 한번 살펴보세요. 그리고 출장이나 아니면 여행 서울에 오실 일이 있으신 분들 한번 서울 지하철 2호선을 잘 살펴봐주세요. 이은지의 가요광장 광고 배너가 설치되어 있습니다. 이렇게 지하철에서 어머 우와 배너다 발견했다 하시는 분들 그 인증샷 찍어서 가요광장으로 보내주시면 저희 가요광장이 선물 보내드리도록 할게요 최아람님 이은지 가요광장에서 로꼬 콘서트 초대권 당첨돼서 갔다 왔는데 너무 좋았어요 덕분에 힐링하고 어젯밤에 부산으로 왔네요 감사해요 텐디. 아람님. 우리 또 얼마 전에 가수 로꼬 씨가 콘서트 홍보 겸 가요광장 놀러와 주셨었는데 그때 또 콘서트 티켓에 당첨되셨군요. 아 좋네요. 가끔 저희 이렇게 연극하시는 분들, 뮤지컬 하시는 분들, 콘서트 하시는 분들, 영화 개봉했을 때 어떤 이런 초대권 이벤트도 같이 하고 있으니까 우리 많은 청취자분들 텐디에게 이은지의 가요광장에 관심 가져주세요. 텐디가 부탁 부탁. 4492님. 오늘 출근해 보니까요. 어제 바람 때문에 회사 창고 천장이 천막으로 되어 있는데 찢어졌네요."
AD,875.64,875.68,0.04,1,0,,헉.
DJ/GUEST,876.05,1170.57,294.52,38,2,"SPEAKER_04,SPEAKER_15",수리해야 된대 앞날이 막막하네요 아이고 세상에나 이게 무슨 일이라 창고 천장이 천막으로 돼 있대요 근데 그게 찢어졌대요 이게 아무래도 바람부터 온도 그런 이슈들 때문에 이런 것이 아닐까 하는 생각 들고 또 천장이 그렇게 되면 어떻게 뭐 사다리를 타고 올라갈 수도 없고 그리고 그거 아세요? 요즘 또 워낙 어떤 고정 이슈가 많으니까 어디다 연락을 하면 바로바로 올 수가 없는 상황. 좀 기다리고 그러다 보니까 또 이게 피곤합니다. 우리 9909님도 그러시잖아요 저희 아버지 축사에 소들이 먹는 물이 얼었대요 원래 온수 나오게 되는 장치가 달려있는데 고장인가봐요 아휴 이런거는 또 수도같은 경우에는 무지하게 잘 얼죠 그래서 뭐 옛날에 시골집 가면 수도같은 곳에다가 겉에다가 뭐 이런 조금 보온할 수 있는 그런거 담요같은거 막 둘둘둘둘 쌓여져있고 이런거 보면 또 아우 겨울이다 그런 생각 드는데 우리 4492님 그리고 9909님께 얼른 몸 녹이시라고 저희가 따뜻한 커피 보내드리겠습니다 맛있게 드세요 별사탕님 복권 가게 하는 우리 신랑한테 나 강력 추천했어요 콩 깔고 블루투스까지 챙겨줬어요 이은지의 가요광장 안 들으면 나 도시락 안 사준다 그랬어요 별사탕님을 오늘의 이은지의 가요광장 영업사원으로 선정합니다 너무 감사해요 사탕님. 세상에나 어쩜 이렇게 또 거의 광고 업체 수준으로 우리 신랑불한테 이은지의 가요광장으로 홍보해 주셨고 텐디도 참 좋아하는 뭔가 로망 같은 거 있잖아요. 복권 가게 사장님 나 너무 부러웠고 옛날에는 만화빵 사장님도 굉장히 부러웠어요. 뭔가 이렇게 좀 아늑한 나만의 아지트 같은 데서 이렇게 착 이렇게 좀 서근서근 있으시는 거 보면 부럽다. 그리고 텐디가 또 좋아했던 부러워했던 사장님. 수입 코너 사장님. 요즘은 사실 해외 배송이나 로켓 배송이 다 잘 되지만 옛날에는 아 어떤 느낌이라고 해야 되지? 약간 인테리어 가게인데 수입 코너도 수입품도 같이 이렇게 좀 판매하시는 분들이 있었어요. 그런 분들 가게 같은데 이렇게 쓱 한번 가면 되게 앤틱한 주전자와 어디 미국에서 온 것 같은 껌 몇 개. 일본에서 온 것 같은 수세미 어디 뭐 저기 미국에서 온 것 같은 뭔가 약간의 그릇 그런 것들 구경하는 재미 그리고 뭔가 소소하고 드립커피 냄새가 많이 났던 그런 기억이 나요 꼭 그렇게 수입 코너나 앤틱한 인테리어 가게에는 드립커피가 늘 있었던 그런 기억이 나고 텐디가 또 부러워했던 곳은 한약 한약 조제하시는 어떤 그런 즙 짜는 건강원 같은 곳에서 이렇게 또 종사하시는 사장님들 굉장히 부러워했던 아 우리 아빠가 건강원 했으면 좋겠다 텐디 그런 생각 했었는데 별사탕님 복권 가게 하는 우리 신랑분 너무 감사드리고 듣고 계신가요? 점심도 맛있게 드시고 이은지의 가요광장 함께 들어주십시오. 현재 시각 12시 17분 43초가 되었네요. 이쯤에서 가요광장의 또 다른 은지를 한 번 만나러 가볼까요? 평범하게 꼭 닮은 우리의 하루. 현실 고증 세상의 모든 은지. 으 배고파 먹자 먹자 잘 먹겠습니다 그래 그래 우리 고막내 많이 먹어 아 그래 주말에 뭐 했어 이렇게 추운데 너 등산 간 거 아니지 아 등산 어 잠시만요 아 음 왜 왜 누군데? 아 정선배님이신데요 내일 있을 회의 관련해서 하실 말씀이 있으신가 봐요 회의 관련해서? 뭔데? 아 그건 잘 모르겠습니다 미리 보기에 뜬 거라 전체 내용은 아직 확인을 안 했어요 야야야 그러면 일단 밥부터 먹고 봐 그 선배도 밥 먹으러 갔을 거 아니야 아니 뭐 얼마나 중요한 얘기라고 점심시간에 어? 굳이? 톡으로? 이따 사무실에서 얼굴 보고 해도 되는 건데 어휴 진짜 뭐야 뭐야 뭐야? 잠깐만 아 왜요? 무슨 일 있으세요? 팀장님한테 온 톡인데 어디냐고 하시네 왜지? 뭘까?
DJ,1172.07,1219.83,47.76,11,1,SPEAKER_04,"아 몰라 몰라 나도 밥 먹고 볼래 아니 밥 먹을 때는 댕댕이도 안 건드리는데 왜 이러는 거야? 고막내야 먹자 밥 먹어 이거 다 식어 일단 먹고 그래 먹어야 되는데 먹을 거야 먹을 건데 아휴 아무래도 일단 볼까요? 뭔데 뭔데 왜 왜 왜 나 어디 있는지 왜 찾으셔? 지금 밥 먹으러 나왔는데 혹시 무슨 일이실까요? 다요가네. 밥도 편하게 못 먹어요. 구멍네야, 너는 뭘 하니? 정선배가 뭐래? 내일 회의에 필요한 자료 언제까지 줄 수 있냐고 하시는데요. 아까 오후까지 드린다고 했는데 급하신가 봅니다."
