block_type,start,end,duration,segments,speaker_count,speakers,text
AD,0.03,27.41,27.38,2,2,"SPEAKER_06,SPEAKER_16",이 캠페인은 환경부와 환경책임보험사업단이 함께합니다. 고객들의 마음을 사로잡기 위해 SBS 라디오와 함께하세요.
DJ,49.09,128.62,79.53,12,1,SPEAKER_03,박하선의 시내 타운 영화 프로포즈데이에서 에나의 아파트에 화재의 경고음이 삐- 울립니다. 얼른 중요한 것만 챙겨서 나가야 해요. 좋은 아파트에 고가의 물건들이 한가득 하지만 정작 에나가 원하는 건 그 안에 없습니다. 늘 성공만을 위해 발버둥치던 에나는요. 그때 깨닫습니다. 내 인생에 가장 중요한 건 이곳이 아닌 저 멀리 아일랜드에 있는 그 사람이란 걸요. 그날 에나의 마음속 점등이 화재 경고음과 함께 찾아오죠. 만약에 라는 말이 의미가 없는 것 같아도요. 이렇게 극한의 상황을 상상하면 복잡한 답이 명료해집니다. 만약 지금 화재 경고음이 삐 하고 울린다면 여러분은 어떤 걸 가장 먼저 찾으실 건가요? 안녕하세요. 박하선의 시내타운 박하선입니다.
MUSIC,142.09,171.16,29.07,1,1,SPEAKER_09,You stuck on me in my laughing eyes I can't pretend though I tried to hide I like you I like you I think I felt my heart skip a beat I'm standing here and I can hardly breathe You got me You got me
DJ,374.86,515.81,140.95,23,1,SPEAKER_03,11월 25일입니다. 월요일이네요. 박하선의 시네타운 첫 곡은 영화 프로포즈데이에서 콜비 카레이의 You Got Me였습니다. 2010년에 개봉한 영화입니다. 프로포즈데이 아넌드 터커 감독의 작품이고 에이미 아담스 매튜 구드가 출연을 했어요. 아일랜드에는 4년에 한 번 돌아오는 2월 29일 여자가 남자에게 프로포즈를 하면 무조건 승득해야 하는 풍습이 있대요. 와우 세상에나 무섭다. 이걸 수제로 오래 사귄 남자친구와 결혼을 위해 그가 출장 간 아일랜드까지 찾아가 프로포즈를 하려는 주인공 에나의 이야기를 담았습니다. 아일랜드의 아름다운 풍경을 마음껏 볼 수 있는 영화 원스도 그렇고 이렇게 예뻐 보여서 꼭 한번 가보고 싶은 나라인데 아직 못 가봤네요. 저는 이거 아이도 있고 하니까 저는 메모장에 적어 놨는데 전 만약에 화재경보 뭐 이렇게 전쟁이 터지거나 급한 상황이 있다 그러면 일단은 카드만 챙겨서 패딩만 챙겨서 아이 들춰놓고 나가야지 그 생각을 하고 있거든요 그래서 빨리 뭐가 끊기기 전에 빨리 돈을 뽑아야지 근데 이게 가다 막히면 어떡하나 그래서 현금도 좀 뽑아 놓고 있거든요 그 현금 이제 장례식이나 결혼식 때 또 계속 쓰다보면 또 줄고 사람이 제일 중요해. 제 딸이나 빨리 들첩고 도망갈 것 같아요. 자 잠시 후 2부엔 여러분의 영화 차트로 꾸며드리는 베스트 차트의 히어로 줄여서 배트맨이 기다리고 있습니다. 우리 테리우스들이 뽑은 겨울 영화 베스트 3로 함께 할게요. 한 번 전에 번개가 엄청 크게 쳤는데 저는 그게 순간 전쟁인가 이래서 한번 어? 어떡하지? 딱 생각이 막 머리가 확 돌아간 적이 있는데 그때 남편은 저쪽 어디 다른 동네에서 회식을 하고 있었거든요. 근데 그때 딱 생각이 들었어요. 모르겠고 딸이나 빨리 데리고 도망가자고 했어요. 이렇게 중요한 순간에 그런 생각이 나는 것 같아요. 왜냐하면 그는 잘 도망갈 테니까 나중에 만나면 되죠. 하고 싶은 이야기 듣고 싶은 노래가 있으시다면 무료인 고릴라나 샵 1077 짧은 건 50원 긴 건 100원의 유료 문자로 보내주세요.
AD,515.87,722.55,206.68,45,8,"SPEAKER_00,SPEAKER_01,SPEAKER_06,SPEAKER_07,SPEAKER_10,SPEAKER_20,SPEAKER_21,SPEAKER_22","그럼 광고 듣고 다시 만나요. 이제 연금도 투자다. N2 퇴직연금. 역시 고용노동부가 선정한 2024년 퇴직연금 우수사업자. MH투자증권. 원금 손실 유의. 가입 전 상품설명서 및 약관 필독. 안녕하세요. 이재훈입니다. 가장 살기 좋은 집이 되도록 가장 빛나는 삶이 펼쳐지도록. 삶을 움직이는 집. 동문 디이스트. 초중고 학습권과 도보 10분 문산역. 문산의 중심. 문산역 3차 동문 디이스트 센트럴. 현본주택 개관 중. 031-651-7733. 한 회사를 똑같이 다녔는데 동기보다 내가 세금도 많이 내면 속이 타 안 타. 그럼 갈아타. 삼성증권 퇴직연금으로 연말 정산 최대 900만 원까지 공제받으니까 당신의 연금력이 커집니다. 삼성증권 투자 전 상품 설명서 및 약관 필터 원금 손실 발생 가능 및 투자자 비속 보수는 연 0.24에서 0.3%이며 홈페이지 참고 안녕하세요. 신한 프리미어 모델 김수현입니다. 여러분께 특별한 자산관리를 소개합니다. 투자, 법률, 세무, 부동산 각 분야 전문가들이 당신만을 위한 맞춤 솔루션을 찾아드립니다. 지금 만나보세요. 자산관리는 신한프리미어 새 차 타고 싶은 사람들 주목! 현대의 자동차를 구매하는 새로운 비법! 이름하여 안심 플러스 할부! 중고차 잔가를 70%까지 보장! 차값의 3분의 1만 매달 부담없이 나눠내고 2년 뒤엔 타던 차를 그대로 반납하면 되니 완전 초대박! 자세한 내용은 지점 대리점 문의! 여러분, 위기 상황으로 어려움을 겪고 계신가요? 혼자 고민하지 마시고 긴급복지 지원을 요청하세요. 생계, 의료, 연료비 등을 지원받으실 수 있습니다. 자세한 사항은 국번 없이 129로 문의 바랍니다. 보건복지부가 힘이 되어드리겠습니다. 안녕하세요. 윤종실입니다. 이정하입니다. 탄탄한 내일을 위해 함께 들어볼까요? 롯데 롯데 롯데비지랑탈 11월 새로운 시대가 시작됩니다. 살고 일하고 즐기고 쉬고 누리고 거대한 원안에 당신의 삶을 모두 담은 서울원에서 만나는 라이프 컬처 시대 서울원 아이파크 HDC 현대산업개발 영화네 방울방울"
DJ,727.65,860.68,133.03,22,1,SPEAKER_03,"그날의 영화 그 안의 추억 하림님이 보내주신 사연이에요. 20대 초반에 저는 영화관에서 아르바이트를 했습니다. 당시 마감 시간대에 일하면 시급을 조금 더 받을 수 있어서 저는 주로 마감 시간대 스텝으로 일을 했어요. 영화, 괴물, 타짜, 악마는 프라다를 입는다, 새끼 등등. 지금 생각해보니 정말 명작들이 많이 개봉했던 시기였네요. 그땐 신작 영화가 개봉을 하기 전에 필름 테스트라는 걸 했어요. 영화관 마감 후 다음날 개봉하는 신작 영화를 미리 보면서 이 필름에 잡티는 없는지 음향 상태는 괜찮은지 체크하는 일이었습니다. 마감 시간대에 근무하는 스태프 수는 많지가 않아서요. 보통 한 상영관당 한 명이나 두 명 정도 들어가서 영화를 봤죠. 개봉 전 영화를 미리 보는 거니까 스포 하나 없이 누구보다 영화를 빨리 볼 수 있는 절호의 기회였습니다. 하지만 한편으로는요. 넓은 상영관에서 홀로 영화를 봐야 하니 무서울 때도 있었어요. 특히 공포 영화 볼 때요. 필름 체크를 해야 하니 아무리 무서워도 절대 눈을 가리면 안 되고 소리도 정확하게 들어야 하니 귀도 막지 못했습니다. 당시 제가 맡았던 영화 중에 소우가 있었어요. 너무 무섭고 잔인해서 몇 번이나 눈을 칠끔 감고 싶었지만 저는 두 눈 똑바로 뜨고 소우를 처음부터 끝까지 다 봤습니다. 그날... 이상하게 집에 혼자 가는 게 무서워서 영화관 스태프 친구들이랑 고갈비에 소주를 마시고 첫 차를 타고 집에 갔던 게 생각나요. 그때 참 좋았어요. 학교 수업 듣고 아르바이트하고 영화 보고 친구들이랑 술도 마셨는데 체력이 무궁무진한 느낌. 그 느낌 참 좋았는데. 혼자 보는 공포영화보다 현실이 더 무섭다는 사실을 알게 된 지금 숙취도 모르고 놀았던 그 시절이 참 그립네요"
AD,892.97,911.07,18.1,1,1,SPEAKER_09,시청해주셔서 감사합니다.
DJ,963.73,986.8,23.07,6,1,SPEAKER_03,"영화 소우에서 헬로우 잽 듣고 왔습니다. 음악만 들어도 무섭네. 2005년에 개봉한 영화입니다. 소우 컨저링 아쿠아맨을 만든 제임스 완 감독의 작품. 리 원엘, 켈리 엘 위스가 주연을 맡았습니다. 어느 캄캄한 지하실."
AD,986.82,990.45,3.63,1,1,SPEAKER_06,발목에 쇠줄이 묶인 채 마주하게 된 아담과 거든.
DJ,991.05,1092.03,100.98,19,1,SPEAKER_03,"정체불명의 범인이 8시간 내에 고든이 아담을 죽이지 않으면 고든의 가족들까지 해치겠다는 경고를 하면서 벌어지는 이야기를 담은 공포영화. 우리 때 난리였는데 참 재밌었는데 좀 새로웠어요. 시사회를 저는 먼저 봐서 참 좋아하는데 이런 기분이었을 것 같아요. 우리 쓰니 지은이분. 재밌었겠어요. 그러게요. 대학교 때는 진짜 6시까지 술 마시고 잘만 들어갔는데 동의. 동의 찍을 무렵에 20대 초반이었는데 그때는 새벽 한두시에 리딩하느라 모이면 5시쯤 슛이 들어가고 점심쯤에 끝나요 그러면 자야 되잖아요 근데 그렇게 낮술을 먹으면서 친해졌거든요 그 팀을 아직도 만나요 그렇게까지 잘 먹고 살았는데 이게 요즘에 한 두세 시간 지나면 회식 시간에 집에 가고 싶어지더라고요 영화 열킨 이렇게 재밌는 사연들 보내주세요. 시내타운 홈페이지 들어오셔서 게시판에 남겨주시면 됩니다. 사연 소개된 분들에게는 백화점 상품권 드립니다. 영화는 방울방울은 카페인 부담 없이 맛과 향은 그대로. 맥심티 카페인 커피 믹스와 함께해요. 박하산의 시내타운에서 준비한 문화 선물입니다. 보고 싶은 작품 문자 또는 고릴라로 신청하세요. 아니면 시내타운 홈페이지에 문화선물 게시판에 댓글로 남겨주세요. 영화 1승 예매권, 영화 리바이벌 69 예매권, 영화 아들들 예매권을 드립니다. 영화 고스트버스터즈에서 레이 파커 주니어의 고스트버스터즈 듣고 우린 다시 만나요."
