block_type,start,end,duration,segments,speaker_count,speakers,text
AD,0.03,17.74,17.71,2,1,SPEAKER_04,KBS의 과거 현재 프로그램을 소환해서 볼 수 있습니다. 지금 당장 구글 플레이 애플 스토어에서 KBS 플러스를 다운받으세요.
DJ,36.46,83.94,47.48,10,1,SPEAKER_08,이은지의 가요광장 안녕하세요. DJ 이은지입니다. 중국의 한 선생님이 지각한 남학생들에게 이런 벌을 내렸답니다. 바로 교단에서 춤추기. 아이들이 어색하게 몸을 흔들고 손아트를 만드는 순간 교실이 빵 터졌다고 하는데요. 이거 괜찮은데요. 우리 취자들도 가요광장에 지각하면 텐디랑 댄스 배틀 한 번 하는 거 어때요? 저는 시키기만 하지 않아요. 같이 추지. 이은지가 춤을 참을 수가 있간
AD,87.48,295.38,207.9,5,1,SPEAKER_16,"유승이 비처럼 발자국으로 가득한 무대 위에 올라 자유로운 몸짓 그 사랑스러운 느낌 저 따분했던 하루와 일상에서 벗어나 Tonight Just you and I가 지구를 던지고 떠올라 먹고 Crazy Crazy Crazy 그 춤을 춰 빨리 지마 놀라지 않아 괜찮아 좀 더 가까이 와 다른 시선 따위 다 잊어버려 우리 늘 복잡한 저 세상 봐 기대에서 벗어나 Just you and I 지구를 던지고 떠올라 Go crazy crazy crazy 그 춤을 춰 멀리 멀리 멀리 떠난 passion Just wanna dance dance dance Baby give me baby give me baby give me more 나 멈추지 마 love this song Just wanna dance dance dance 어차피 작은 점일 뿐이야 보석까지 지금 내 기분 I feel so high 멀리 멀리 멀리 다 눈부셔 I just wanna dance, dance, dance, dance, dance, dance Baby give me, baby give me, baby give me more 나 뭉치지 마 Love this song I just wanna turn the news"
DJ/GUEST,298.19,440.58,142.39,13,2,"SPEAKER_05,SPEAKER_08","이은지의 가요광장 오늘 첫 곡은요 오마이걸 던던댄스 였습니다 텐디가 이제 오프닝에서 좀 재미난 이야기 했는데요 중국의 한 선생님에게 지각한 남학생들에게 이런 벌을 내렸다고 하네요 근데 여러분 아직 오프닝 원고를 꼭 오프닝 얘기를 하는데 지금 사실 집중이 잘 안되네요 이미 게스트분들이 앉아있고 현재 보이는 라디오 보시는 우리 청취자분들은 깜짝 놀라셨을 거예요 오프닝을 읽자마자 너무 예쁘세요 우리 아직 소개 전이니까 조금만 기다려주세요 조금만 기다려주시고 지금 굉장히 패딩 소리부터 부스럭부스럭 소리 지금 다 들어가고 있지만 우리 많은 분들 지금 벌써부터 기다리셨을 겁니다 왜냐하면 3,4부에요 우리 최고의 그룹 에이핑크가 놀러오기로 했습니다. 미니 11집으로 컴백한 그룹 에이핑크와 함께 할 거니까요. 궁금한 질문 부탁하고 싶은 미션 미담 목격담 많이 많이 보내주셔요. 보내주실 번호 샵 8910 짧은 문자 50번 긴 문자와 사진 문자 100원 어플 콩과 KBS 플러스는 무료고요. 소개된 분들 중 추첨을 통해 선물 보내드리도록 합니다. 2026년 1.4분기 청주 3화지 가요광장 받았으기도 하고 있고요. 오늘의 선물 바로바로 한우 불고기 준비해놨으니 많은 참여 부탁드리고 추첨을 통해 총 26분께 드릴 거니까요. 기대 많이 해주셔요. 아니 그러면 광고소개부터 먼저 해야 되나 우리 취자들 인사부터 먼저 해야 되나 오늘 정신이 없지만 광고소개부터 먼저 해봅니다 각종 시작송으로 함께 할게요 감독님 음악 주세요 창업을 준비하는 청년들의 든든한 발판이 되어주는 곳이 있습니다. GH 경기주택도시공사는 청년 창업가들이 도전에 이어갈 수 있도록 안정적인 기반을 함께 만들어가고 있습니다."
AD,440.6,477.82,37.22,10,4,"SPEAKER_14,SPEAKER_15,SPEAKER_21,SPEAKER_28","누군가의 가능성에 무한 동력이 되어주는 일. GH가 함께합니다. 영자야, 너 피부 클리닉 다녀왔어? 아니, 화장품만 바꿨어. 무슨 화장품인데 이렇게 달라져? 리퍼브, 개인 맞춤형 화장품이라 써보면 확실히 달라. 리퍼브? 변화, 그 이상의 놀라움. 2025 APEC 공식 후원 화장품 리퍼브. 전국 클라운지를 검색해보세요. 1 2 3 4"
DJ/GUEST,495.5,557.16,61.66,4,2,"SPEAKER_07,SPEAKER_08",택배기사님보다 반가운 분들만 모십니다 가광초대에서 누구세요 여러분 누구세요? 네 하나 둘 셋 안녕하세요 에이핑크입니다 케이팝의 자랑 케이팝의 근본 케이팝의 낭만 케이팝의 장수 청순돌이 완전체로 컴백했습니다 에이핑크와 함께할게요 스쿨스쿨 오셨습니다 에이핑크가 왔습니다 먼저 우리 개인 인사 해보도록 하겠습니다 네 안녕하세요 에이핑크 리더 초롱입니다 반갑습니다 아 초롱씨 네 안녕하세요 에이핑크 보미입니다 반갑습니다 네 안녕하세요 에이핑크 은지입니다 반갑습니다 네 안녕하세요 에이핑크 남주입니다 반갑습니다 네 안녕하세요 에이핑크 하영입니다 반갑습니다
DJ/GUEST,557.14,620.15,63.01,3,2,"SPEAKER_08,SPEAKER_10",가요광장 많은 게스트분들이 오시지만 개인 인사를 이렇게 빠르고 자기 할 걸 알아서 하는 그룹은 굉장히 역시 프로페셔널이다 시간이 그냥 흐른 게 아니죠 깜짝 놀랐어요 은지씨 지금 약간 안방같이 말을 하시는데 어떻게 된 거죠? 자리 바꿔야 돼요 이제는 정말 오래되셔가지고 너무 익숙하시고 제가 이제 이 자리가 조금씩 익숙해져가는 것 같아요 우리 멍디가 또 오랜만에 놀러오셨고 멍디는 너무 감사하게도 광고나 홍보 우리 그때 한 번 드라마 때도 한 번 놀러와주셨고 자주 자주 와주셨어요 너무 감사드리고 분기별로 뵈서 정말 너무 좋아요 근데 볼때마다 이렇게 반쪽이 되어가세요 진짜 어떡해 왜 이렇게 이뻐지셨어요 괜찮아 느낌 괜찮아 오늘 샵 갔다와서 그래 근데 너무 예쁘셔서 깜짝 놀랐고 못 알아볼 정도로 너무 예쁘시고 남주씨 좀 구체적으로 들을 수 있을까요?
DJ/GUEST,620.17,668.15,47.98,9,2,"SPEAKER_06,SPEAKER_08",일단 너무너무 화사하시고 예쁘시고 깜짝 놀란 미인이었다 어제 요가 1시간 반을 했다 확실히 효과가 있었다 듣기 싹 빠지셨다 완전 나마스테 순환이 제대로 됐다 어제 고관절을 많이 풀었어요 지금 우리 에이핑크는 고관절 풀 시간이 없죠 고관절 완전 안 좋아요 풀고 싶어요 풀고 싶어요 고관절들이 자기들끼리 너무 친해졌어요 뭉쳐가지고 친해졌어요 지금 항의 중이에요 왜냐하면 오늘이 또 뮤직뱅크 있는 날이라 더 바쁠 거예요. 어떻게 보민씨 괜찮아요? 오랜만에 또 뮤직뱅크 있는 날인데 저 혹시 안 괜찮아 보였죠? 저희가 산옥을 하고 왔어요. 열심히 또 하고 왔습니다. 두 시간 푹 잤어요. 잘했어요.
DJ/GUEST,668.43,731.85,63.42,6,3,"SPEAKER_08,SPEAKER_09,SPEAKER_10",두 시간 정도 푹 잤고 이게 몰랐는데요. 가수가 음방을 뛰면 우리 팬들도 같이 뛰어서 맞아요. 점점점점 같이 피곤해지더라구요 팬들도 지금 얼굴이 안좋아요 안색이 급격히 떨어졌어요 팬들 목소리 한번 들어볼게요 마이크 좀 열어주십쇼 여러분 제가 이야기하면 잘 얘기 안 하더라구요 은지씨 도와주세요 여러분 오늘도 화이팅 정식 메뉴 추천은 감자탕이에요 어제 내가 해서 먹었디야 우거지를 더 넣어 환영 문자도 많이 오고 있습니다 6764님의 문자 읽어주세요 남주씨 에이핑크 컴백이 너무 신나버린 나머지 너무 좋아서 지금 바로 춤출 수 있을 것 같아요 확인 불가한 거는 문자로 읽어요 말씀 주시면 좀 곤란해요.
DJ,731.87,759.77,27.9,9,1,SPEAKER_08,곤란하지만 이 무대랑 음원이랑 뮤비랑 여러분들이 지금 찍고 있는 그 모든 챌린지가 저 너무 행복해요. 보셨어요? 당연히 함께 해야죠. 무조건 함께 해야죠. 너무 좋고 원래도 뮤직스윙을 굉장히 좋아해요. 뮤직스윙이 막 나오는 거야. 감사해요. 내가 원했던 음악이 이런 음악이야. 지금 약간 아멘을 외치고 싶을 정도로.
