Type,Start Time,Stop Time,Duration,Transcript,Speakers,Dominant_Speaker,Predicted_Label
speech,0.03,8.1,8.07,KBS 플러스 KBS만이 제공 가능한 무료 서비스 스마트폰에서 즐겨보세요.,SPEAKER_20:1.00s(1.000),SPEAKER_20,AD
speech,8.24,17.57,9.33,40개의 실시간 채널 음원계의 다시 보기 KBS의 과거 현재 프로그램을 소환해서 볼 수 있습니다.,SPEAKER_20:1.00s(1.000),SPEAKER_20,AD
speech,17.59,20.86,3.27,지금 당장 구글 플레이 애플 스토어에서 KBS 플러스를 다운받으세요.,SPEAKER_20:1.00s(1.000),SPEAKER_20,AD
speech,39.35,43.86,4.509999999999998,이은지의 가요광장 안녕하세요.,SPEAKER_06:1.00s(1.000),SPEAKER_06,DJ
speech,43.88,46.27,2.390000000000001,DJ 이은지입니다.,SPEAKER_06:1.00s(1.000),SPEAKER_06,DJ
speech,57.19,61.27,4.080000000000005,복을 받는다라는 말은 너무 수동적이지 않나요?,SPEAKER_06:1.00s(1.000),SPEAKER_06,DJ
speech,61.84,66.82,4.97999999999999,그거 언제 받을 줄 알고 나한테 복이 올 때까지 가만히 기다리고만 있냐고요.,SPEAKER_06:1.00s(1.000),SPEAKER_06,DJ
speech,67.42,72.63,5.209999999999994,그래서 말인데 2026년 올해는 우리가 복한테 가는 거 어때요?,SPEAKER_06:1.00s(1.000),SPEAKER_06,DJ
speech,74.26,76.14,1.8799999999999957,복버러복버러복 너 거기 딱 기다려.,SPEAKER_06:1.00s(1.000),SPEAKER_06,DJ
speech,76.84,82.13,5.289999999999992,아무데도 못 가.,SPEAKER_06:1.00s(1.000),SPEAKER_06,DJ
speech,82.15,82.35,0.1999999999999886,작년 한 해 얼마나,SPEAKER_18:1.00s(1.000),SPEAKER_18,AD
speech,83.12,110.77,27.64999999999999,수고들이 많으셨나요 신경 써주신 덕분에 무탈이 새해 맞습니다 일일이 찾아뵙고 따로 인사드려야 하지만 먹고 산다고 바쁘단 핑계로 노래로 대신 인사드립니다,SPEAKER_18:1.00s(1.000),SPEAKER_18,AD
speech,112.17,134.61,22.44000000000001,하하하하 호호호호 올해에는 웃을 일 가득하시고 대대대대 손손손손 걱정 없을 만큼 대박나시기를 모든 새해 복 많이 받으세요,SPEAKER_18:1.00s(1.000),SPEAKER_18,AD
speech,151.0,177.47,26.47,가끔 전화드려야 하지만 세상살이가 힘들단 핑계로 노래로 대신 마음 전합니다 하하하하 호호호호 모래에는 웃을 일 가득하시고 데데데데 손손손손,SPEAKER_18:1.00s(1.000),SPEAKER_18,AD
speech,178.5,204.61,26.110000000000014,어쩜 없을 만큼 대박 나시기를 그리고 무엇보다도 가족 모두 건강하시고 사랑하는 사람들과 언제나 함께 하시기를 우리 모두 고마니 많이 많이 듬뿍 많이 모두 고마니,SPEAKER_18:1.00s(1.000),SPEAKER_18,AD
speech,212.49,241.72,29.22999999999999,우리 다 같이 웃어요 손손손손 근심과 걱정 모두 다 털어내고 올해에는 웃을 일 가득하시고 손손손손 걱정 없을 만큼 대박 나시기를 모두 행복많이,SPEAKER_18:1.00s(1.000),SPEAKER_18,AD
speech,243.84,262.85,19.01000000000002,나누세요 많이 많이 많이 듬뿍 듬뿍 새해 복 많이 받으세요 새해 복 많이 받으세요 이은지의 가요광장 오늘 첫 곡은요 제이리빗 하상우 새해 복 새 행복이었습니다.,SPEAKER_06:1.00s(1.000),SPEAKER_06,DJ
speech,263.59,269.56,5.970000000000027,취자들 2026년 1월 1일입니다.,SPEAKER_06:1.00s(1.000),SPEAKER_06,DJ
speech,269.62,269.66,0.0400000000000204,와우,SPEAKER_06:1.00s(1.000),SPEAKER_06,DJ
speech,269.64,290.63,20.99000000000001,이 복 많이 받으세요 받으세요 우리가 이런 식으로 인사를 하는데요 뭔가 복이 언제 올지도 모르고 어디서 받아야 될지도 모르겠으니까 우리가 복한테 가자 뭐 이런 이야기를 오프닝 원고에서 했는데요 복 많이 받으세요 말고 우리가 복한테 가자 복 어디 계세요?,SPEAKER_06:1.00s(1.000),SPEAKER_06,DJ
speech,291.23,292.62,1.3899999999999864,새해 복 어디 계세요?,SPEAKER_06:1.00s(1.000),SPEAKER_06,DJ
speech,292.68,294.0,1.3199999999999932,이렇게 해야 되나?,SPEAKER_06:1.00s(1.000),SPEAKER_06,DJ
speech,293.98,323.98,30.0,인사를 뭔가 새해 복 많이 받으세요 말고 뭔가 나도 새롭게 만들고 싶은 욕망은 좀 있어요 오늘 또 우리가 다 이렇게 오며 가며 만나며 우리 뭐 경호해 주시는 분들 아침에 인사하며 새해 복 많이 받으세요 아 그게 조금 아쉬운데 뭔가 가요광증만을 뭘 하나 만들까 해피 뉴 이열 아 이것도 잉글리시 버전도 너무 노멀하고 새해 봄 새해 봄 받으세요 봄을 받으라 그럴까요 복은 너무 많이 받았고 봄 봄이 이제 따뜻해지니까 봄 받으라 그럴까,SPEAKER_06:1.00s(1.000),SPEAKER_06,DJ
speech,323.96,347.54,23.58000000000004,한번 고민 한번 해볼게요 우리만의 무언가를 한번 만들고 싶다 5314님 텐디 새해 복 많이 잡으러 가자요 우리 2026년엔 세상 신나게 흥나게 살아보자구요 누구보다 재밌게 살거에요 새벽 2시 KBS 카운트다운 현장에서 들어온 여자입니다 하아,SPEAKER_06:1.00s(1.000),SPEAKER_06,DJ
speech,347.71,350.53,2.819999999999993,그러면 어떻게 보면 그거를 하셨나?,SPEAKER_06:1.00s(1.000),SPEAKER_06,DJ
speech,350.97,354.4,3.42999999999995,제아의 종소리 어제 행사를 참여하셨나?,SPEAKER_06:1.00s(1.000),SPEAKER_06,DJ
speech,355.08,357.45,2.3700000000000045,양희은 선배님도 어제 다녀오신 것 같던데요.,SPEAKER_06:1.00s(1.000),SPEAKER_06,DJ
speech,357.55,367.73,10.180000000000009,예쁜 한복 입으시고 다녀오신 것 같고 텐디도 어제 가족들이랑 같이 텐디 집에서 제아의 종소리 들으면서 좋은 시간 보냈거든요.,SPEAKER_06:1.00s(1.000),SPEAKER_06,DJ
speech,368.29,369.41,1.1200000000000043,정영아님.,SPEAKER_06:1.00s(1.000),SPEAKER_06,DJ
