block_type,start,end,duration,segments,speaker_count,speakers,text
AD,0.03,9.33,9.3,1,1,SPEAKER_08,당신을 지킵니다 당신을 지키는 EHL 바이오가 6시를 알려드립니다
DJ,42.59,198.77,156.18,24,1,SPEAKER_23,"인간의 오감은 시각, 청각, 후각, 미각, 촉각. 거기에 분석적인 사고를 하지 않고도 직관으로 사태의 진상을 잘 파악하는 육감이 더해집니다. 지금은 그 여섯 가지 감각만으로는 못 사는 세상이에요. 초연결지능인 제7의 감각이 있어야 해요. 네트워크 시대니까요. 지금은 연결되어 있지 않은 건 죽은 거나 마찬가지예요. 왜 너는 네 일상을 그 세상 사람들과 공유하려고 해? 왜 너는 너의 DNA와 신상 정보를 건네주려는 거야? 뭐라고? 청각매체인 라디오를 보고 있다고? 연결되어 있으면 더 유용해지는 세상에서 제7의 감각은 어떤 사물이 연결에 의해 바뀌는 방식을 알아채는 능력입니다. 오늘날 연결을 놓치면 기회를 놓치는 일이 다반사입니다. 제7의 감각 초연결지능에서는 인간사의 진보가 기회를 통해 온다는 사실을 새삼 일깨웁니다. 2026년 올해 우리는 어떤 기회가 올지는 예측할 수 없지만 제7의 감각을 한껏 키워서 그 기회를 잘 발견하려 합니다. 1월 3일 토요일입니다. 배철수의 음악 캠프에서는 계속해서 특집 방송 2025년 팝뮤직 총결산. 오늘은 락 차트입니다. 먼저 핫 락 송스 차트입니다. 락 차트는 핫 락 송스 차트하고 락 앤 얼터너티브 송스 차트로 나누어집니다. 겹치는 노래들이 많긴 한데 왜 이렇게 나오냐면 일단 모르겠어요. 통합하면 안될까 통합? 자 핫 왁송스 차트 10위부터 출발합니다. 10위 브랜든 레이크 젤리 롤 핫 포트 할렐루야"
MUSIC,209.16,253.72,44.56,2,1,SPEAKER_34,"I don't always feel it But that's when I need it the most So I'ma keep on singing Till my soul catches up with my song There's times when my hands go up freely And times that it calls There's days when a praise comes out easy Days when it takes all the strength I've got I'll bring my heart, fought, hard, fell, been through hell, high"
AD,260.02,287.75,27.73,1,1,SPEAKER_18,한글자막 by 한효정 한글자막 by 한효정
MUSIC,298.62,355.69,57.07,2,2,"SPEAKER_16,SPEAKER_18","I've wrestled with the darkness But I'm trying to reach for the light Yeah, the struggle keeps me honest And it breaks down the walls of my pride Cause faith isn't proven like gold Till it's been through the fire my head hard and hands are feeling heavy that's when I lift them just a little higher now bring my heart up heartfelt big through hell hallelujah now bring my storm talks to myself story to tell hallelujah"
AD,358.05,507.4,149.35,3,2,"SPEAKER_16,SPEAKER_18",자막 제공 배달의민족 할렐루야 할렐루야 할렐루야 할렐루야 할렐루야
DJ,508.12,532.29,24.17,1,1,SPEAKER_23,할렐루야 네 핫 락 송스 차트 10위 브랜든 레이크 & 젤리 롤 핫 포트 할렐루야 들었습니다 자 9위는 잭 브라이언의 핑크 스카이 씁니다 광고 뒤에 듣겠습니다
AD,534.68,843.72,309.04,27,8,"SPEAKER_08,SPEAKER_11,SPEAKER_18,SPEAKER_19,SPEAKER_24,SPEAKER_28,SPEAKER_29,SPEAKER_32","코끼리 베이글 눈코입이 즐겁다 코끼리 베이글 자꾸자꾸 이비가 이비가 짬뽕 이비가 짬뽕 모델 김태균입니다 국물 맛은 칼칼한데 자극적이지 않아 속은 편안한 남녀노소 모두가 완뽕하게 되는 바로 그 짬뽕 이비가 이비가요 이비가 짬뽕 1일 1짬뽕 오케이? 서울사이버대학을 다니고 나의 성공시대 시작됐다 반려동물 산업학과, 스포츠 지도학과, 응용수학 통계학과 등 사이버대 최대 49개 학과 전공해서 지금 신입생, 편입생을 보집 중입니다. 이모보면 알아 디테일도 좋아 자극복은 역시 지배인가 대한민국 대표 워크웨어 지벤. 일하는 지금은 지벤 시대. 세계 10대 슈퍼푸드 브로콜리. 겨울엔 브로콜리 카레 어떠세요? 겨울의 카레 브로콜리 카레. 계절마다 카레를 다르게 계절마다 카레를 맛있게 카레로 계절을 맛보세요. 일요일은 오뚜기 카레 오뚜기 아팠던 분들에게 보험 가입의 기준 너무 높죠? 하지만 간편건강보험이라면 어떨까요? 고혈압, 당뇨, 디스크가 있어도 몇 가지 질문만으로 간편하게 가입 가능 유병자 걱정 덜어주는 현대해상 간편건강보험 심사기준에 따라 가입이 제한될 수 있으니 유의사항을 확인하세요 맑은 물이 흐르고 온도 변화가 크지 않은 까다로운 곳에서 자라는 와사비. 주비푸드는 그런 와사비의 뿌리 부분만을 엄선해 사용합니다. 소비자들을 존중하기에 좋은 원료, 정직한 표기를 약속합니다. 아름다운 식탁 창조 주비푸드. 미미미르 에셋 미미르 에셋 투자는 미미라에셋 안녕하세요. 노란우산 홍보대사 탁재훈입니다. 세금 걱정에 노후 걱정까지 요즘 사장님들 참 걱정이 많으시죠. 이제 노란우산이 사장님 걱정을 탁 덜어드릴게요. 매년 최대 600만 원 소득공제, 부금 내 대출 지원은 물론 국내 이자로 퇴직금 역할까지 대한민국 사장님 곁엔 언제나 노란우산이 함께합니다. 사장님의 걱정을 탁 덜어들이는 든든한 희망자산, 노란우산. 자막 제공 및 영상 제공 및 광고를 포함하고 있습니다. 자막 제공 및 영상 제공 및 광고를 포함하고 있습니다."
MUSIC,846.9,933.85,86.95,3,1,SPEAKER_11,"and the grass all smells the same as the day he broke your arm swingin' on that kid out on the river You bailed him out, never said a thing about Jesus or the way he's livin' If you could see him now, you'd be proud But you'd think they'd be happy Your funeral was beautiful I bet God heard you comin' The kids are in town for a funeral So pack the car and dry your eyes I know they got plenty of young blood left in them And plenty nights under pink skies You taught them to enjoy"
DJ,941.69,989.48,47.79,9,1,SPEAKER_23,2025년 팝뮤직 총결산 오늘 락차트 결산입니다. 핫 락송스 차트 9위 잭 브라이언의 핑크 스카이스 들었습니다. 락차트를 쭉 살펴보면 예전하고 확실히 다르죠? 예전에는 진짜 강력한 락 음악들이 많았는데 요즘은 락 음악들도 다 굉장히 소프트해졌습니다. 그래서 이게 락인지 팝인지 컨츄리인지 경계가 좀 모호하긴 해요. 8위는 Zombo의 Back to Friends입니다. 7위도 Zombo의 Undressed. 두 곡을 이어듣겠습니다. 먼저 8위 Zombo의 Back to Friends입니다.
